symbol,time,askclose,askhigh,asklow,askopen,asksize,bidclose,bidhigh,bidlow,bidopen,bidsize,close,high,low,open,volume
BABA VU1EHIDJYJXH,2021-01-04 09:31:00,226.34,227.95,226.32,226.6,100.0,226.28,227.89,226.23,226.43,100.0,226.31,227.9,226.25,226.5,928847.0
BABA VU1EHIDJYJXH,2021-01-04 09:32:00,225.89,226.5,225.53,226.34,300.0,225.79,226.4,225.45,226.28,200.0,225.85,226.49,225.45,226.28,468785.0
BABA VU1EHIDJYJXH,2021-01-04 09:33:00,225.59,226.0,225.53,225.89,400.0,225.48,225.96,225.48,225.79,400.0,225.48,225.99,225.48,225.79,287555.0
BABA VU1EHIDJYJXH,2021-01-04 09:34:00,227.0,227.03,225.5,225.59,200.0,226.85,226.95,225.46,225.48,100.0,226.925,227.0,225.47,225.48,308122.0
BABA VU1EHIDJYJXH,2021-01-04 09:35:00,227.36,227.6,226.99,227.0,300.0,227.28,227.48,226.85,226.85,700.0,227.35,227.57,226.945,226.945,210204.0
BABA VU1EHIDJYJXH,2021-01-04 09:36:00,228.56,228.6,227.3,227.36,100.0,228.46,228.55,227.27,227.28,100.0,228.49,228.55,227.28,227.3,313576.0
BABA VU1EHIDJYJXH,2021-01-04 09:37:00,228.16,228.8,228.11,228.56,100.0,228.09,228.73,228.02,228.46,200.0,228.11,228.8,228.08,228.6,204976.0
BABA VU1EHIDJYJXH,2021-01-04 09:38:00,227.72,228.5,227.43,228.16,300.0,227.67,228.35,227.32,228.09,400.0,227.69,228.36,227.43,228.09,177793.0
BABA VU1EHIDJYJXH,2021-01-04 09:39:00,227.83,228.0,227.24,227.72,100.0,227.66,227.85,227.19,227.67,300.0,227.79,227.9,227.215,227.76,140744.0
BABA VU1EHIDJYJXH,2021-01-04 09:40:00,227.79,228.18,227.52,227.83,300.0,227.72,228.01,227.5,227.66,200.0,227.75,228.02,227.5,227.85,149773.0
BABA VU1EHIDJYJXH,2021-01-04 09:41:00,228.55,228.55,227.79,227.79,200.0,228.46,228.47,227.72,227.72,100.0,228.52,228.52,227.79,227.79,156688.0
BABA VU1EHIDJYJXH,2021-01-04 09:42:00,228.91,228.95,228.39,228.55,100.0,228.81,228.91,228.22,228.46,300.0,228.83,228.95,228.33,228.58,162814.0
