symbol,time,close,high,low,open,volume
BABA VU1EHIDJYJXH,2021-01-04 10:00:00,228.74,230.38,225.45,226.5,5796165.0
BABA VU1EHIDJYJXH,2021-01-04 11:00:00,225.52,229.85,225.36,228.75,5416514.0
BABA VU1EHIDJYJXH,2021-01-04 12:00:00,226.77,227.72,225.15,225.5,3238147.0
BABA VU1EHIDJYJXH,2021-01-04 13:00:00,225.81,227.005,225.05,226.76,2316041.0
BABA VU1EHIDJYJXH,2021-01-04 14:00:00,226.9,227.31,225.3,225.76,1517954.0
BABA VU1EHIDJYJXH,2021-01-04 15:00:00,227.67,227.79,226.8,226.96,1530261.0
BABA VU1EHIDJYJXH,2021-01-04 16:00:00,227.85,228.46,227.19,227.68,3502101.0
BABA VU1EHIDJYJXH,2021-01-05 10:00:00,237.25,237.31,228.12,228.85,8764533.0
BABA VU1EHIDJYJXH,2021-01-05 11:00:00,236.88,238.18,235.35,237.25,6172295.0
BABA VU1EHIDJYJXH,2021-01-05 12:00:00,239.09,239.6,236.8,236.91,4259535.0
BABA VU1EHIDJYJXH,2021-01-05 13:00:00,239.34,240.46,237.94,239.0,4325905.0
BABA VU1EHIDJYJXH,2021-01-05 14:00:00,239.0,239.885,238.41,239.31,2488182.0
BABA VU1EHIDJYJXH,2021-01-05 15:00:00,239.36,239.88,238.61,239.06,1667380.0
BABA VU1EHIDJYJXH,2021-01-05 16:00:00,240.4,240.76,238.68,239.37,6097296.0
BABA VU1EHIDJYJXH,2021-01-06 10:00:00,235.45,237.56,232.08,235.0,4807639.0
BABA VU1EHIDJYJXH,2021-01-06 11:00:00,237.485,238.0,234.74,235.5,3539532.0
BABA VU1EHIDJYJXH,2021-01-06 12:00:00,236.0,238.3,235.6,237.52,2329352.0
BABA VU1EHIDJYJXH,2021-01-06 13:00:00,235.05,236.46,234.73,236.07,2052422.0
BABA VU1EHIDJYJXH,2021-01-06 14:00:00,235.91,236.91,234.9,235.12,1725978.0
BABA VU1EHIDJYJXH,2021-01-06 15:00:00,231.06,236.28,225.87,236.0,11230726.0
BABA VU1EHIDJYJXH,2021-01-06 16:00:00,227.61,231.07,225.98,231.01,10299379.0
BABA VU1EHIDJYJXH,2021-01-07 10:00:00,223.32,229.94,221.09,229.48,10169990.0
BABA VU1EHIDJYJXH,2021-01-07 11:00:00,220.41,223.98,220.2,223.33,10268985.0
BABA VU1EHIDJYJXH,2021-01-07 12:00:00,224.0,224.83,220.09,220.43,7174548.0
BABA VU1EHIDJYJXH,2021-01-07 13:00:00,226.36,227.23,224.03,224.03,5108386.0
BABA VU1EHIDJYJXH,2021-01-07 14:00:00,228.6,229.66,225.835,226.41,4419311.0
BABA VU1EHIDJYJXH,2021-01-07 15:00:00,228.9,229.36,228.12,228.6,2823696.0
BABA VU1EHIDJYJXH,2021-01-07 16:00:00,226.9,229.78,226.39,228.89,7355422.0
BABA VU1EHIDJYJXH,2021-01-08 10:00:00,231.06,232.95,226.9,226.9,4707267.0
BABA VU1EHIDJYJXH,2021-01-08 11:00:00,235.5,235.61,227.6,231.13,6757148.0
BABA VU1EHIDJYJXH,2021-01-08 12:00:00,237.27,238.6,234.15,235.47,8514047.0
BABA VU1EHIDJYJXH,2021-01-08 13:00:00,236.87,238.2,236.08,237.33,2918740.0
BABA VU1EHIDJYJXH,2021-01-08 14:00:00,235.58,237.84,235.35,236.86,2575301.0
BABA VU1EHIDJYJXH,2021-01-08 15:00:00,236.68,237.51,235.63,235.64,2296416.0
BABA VU1EHIDJYJXH,2021-01-08 16:00:00,236.19,237.53,235.59,236.66,6095404.0
BABA VU1EHIDJYJXH,2021-01-11 10:00:00,229.32,230.51,228.26,230.35,3788801.0
BABA VU1EHIDJYJXH,2021-01-11 11:00:00,229.97,230.8,229.24,229.3,3319237.0
BABA VU1EHIDJYJXH,2021-01-11 12:00:00,229.175,230.03,228.63,229.94,2231401.0
BABA VU1EHIDJYJXH,2021-01-11 13:00:00,229.75,230.29,228.81,229.17,2394618.0
BABA VU1EHIDJYJXH,2021-01-11 14:00:00,229.23,229.9,228.9,229.75,1850102.0
BABA VU1EHIDJYJXH,2021-01-11 15:00:00,229.83,230.03,228.93,229.2,1413235.0
BABA VU1EHIDJYJXH,2021-01-11 16:00:00,227.37,229.86,225.86,229.81,6855532.0
BABA VU1EHIDJYJXH,2021-01-12 10:00:00,228.34,229.75,226.68,228.32,2590007.0
BABA VU1EHIDJYJXH,2021-01-12 11:00:00,227.18,229.08,225.8,228.31,3230137.0
BABA VU1EHIDJYJXH,2021-01-12 12:00:00,229.14,229.37,226.75,227.23,2009917.0
BABA VU1EHIDJYJXH,2021-01-12 13:00:00,228.82,229.49,227.26,229.12,1961256.0
BABA VU1EHIDJYJXH,2021-01-12 14:00:00,228.53,228.88,227.92,228.79,1235500.0
BABA VU1EHIDJYJXH,2021-01-12 15:00:00,227.25,228.71,226.63,228.52,2094290.0
BABA VU1EHIDJYJXH,2021-01-12 16:00:00,225.6,227.26,225.15,227.26,4420525.0
BABA VU1EHIDJYJXH,2021-01-13 10:00:00,226.84,231.41,226.84,230.0,3975566.0
BABA VU1EHIDJYJXH,2021-01-13 11:00:00,228.58,228.79,226.29,226.96,3392914.0
BABA VU1EHIDJYJXH,2021-01-13 12:00:00,227.85,228.87,227.7,228.56,1579429.0
BABA VU1EHIDJYJXH,2021-01-13 13:00:00,230.63,230.69,227.66,227.84,3547778.0
BABA VU1EHIDJYJXH,2021-01-13 14:00:00,236.94,238.5,230.4,230.63,8127882.0
BABA VU1EHIDJYJXH,2021-01-13 15:00:00,237.46,240.49,235.71,236.95,9637287.0
BABA VU1EHIDJYJXH,2021-01-13 16:00:00,235.3,237.51,234.5,237.49,6474025.0
BABA VU1EHIDJYJXH,2021-01-14 10:00:00,243.1,245.69,242.31,245.35,7914127.0
BABA VU1EHIDJYJXH,2021-01-14 11:00:00,243.89,244.81,241.48,243.1,5112990.0
BABA VU1EHIDJYJXH,2021-01-14 12:00:00,243.71,244.19,243.1,243.87,2717717.0
BABA VU1EHIDJYJXH,2021-01-14 13:00:00,243.86,245.28,242.83,243.7,3006524.0
BABA VU1EHIDJYJXH,2021-01-14 14:00:00,244.2,245.0,243.34,243.87,2298707.0
BABA VU1EHIDJYJXH,2021-01-14 15:00:00,244.57,245.1,243.62,244.23,2106455.0
BABA VU1EHIDJYJXH,2021-01-14 16:00:00,242.98,245.7,242.16,244.545,6420369.0
BABA VU1EHIDJYJXH,2021-01-15 10:00:00,244.66,246.47,243.74,246.25,3611459.0
BABA VU1EHIDJYJXH,2021-01-15 11:00:00,244.79,245.01,242.7,244.64,5062305.0
BABA VU1EHIDJYJXH,2021-01-15 12:00:00,245.09,245.67,243.83,244.8,3093061.0
BABA VU1EHIDJYJXH,2021-01-15 13:00:00,244.37,245.09,244.13,245.06,1053376.0
BABA VU1EHIDJYJXH,2021-01-15 14:00:00,244.42,245.25,244.15,244.38,2225845.0
BABA VU1EHIDJYJXH,2021-01-15 15:00:00,242.85,244.49,242.76,244.44,1444158.0
BABA VU1EHIDJYJXH,2021-01-15 16:00:00,243.46,243.72,242.16,242.87,4172736.0
BABA VU1EHIDJYJXH,2021-01-19 10:00:00,247.53,250.52,247.16,250.0,4172622.0
BABA VU1EHIDJYJXH,2021-01-19 11:00:00,249.0,249.61,246.99,247.47,3392930.0
BABA VU1EHIDJYJXH,2021-01-19 12:00:00,249.36,249.58,248.12,248.91,1844240.0
BABA VU1EHIDJYJXH,2021-01-19 13:00:00,249.53,249.82,248.92,249.37,1564624.0
BABA VU1EHIDJYJXH,2021-01-19 14:00:00,249.28,249.73,248.43,249.53,1332429.0
BABA VU1EHIDJYJXH,2021-01-19 15:00:00,250.02,250.42,249.13,249.26,1658869.0
BABA VU1EHIDJYJXH,2021-01-19 16:00:00,251.65,252.88,249.65,250.01,6126807.0
BABA VU1EHIDJYJXH,2021-01-20 10:00:00,263.86,269.0,262.7,267.49,12469669.0
BABA VU1EHIDJYJXH,2021-01-20 11:00:00,265.52,267.25,263.26,263.96,8368191.0
