symbol,time,close,high,low,open,volume
BLK ROIDIDJRNXID,2018-01-02 10:00:00,469.957438553,475.985474654,469.773936693,475.985474654,42113.0
BLK ROIDIDJRNXID,2018-01-02 11:00:00,469.296831857,471.664005851,468.984878695,470.351967552,79368.0
BLK ROIDIDJRNXID,2018-01-02 12:00:00,468.397672743,470.085889855,467.28748649,469.755586507,43028.0
BLK ROIDIDJRNXID,2018-01-02 13:00:00,467.65449021,469.434458252,467.223260839,468.57199951,56833.0
BLK ROIDIDJRNXID,2018-01-02 14:00:00,467.342537048,468.370147464,466.948008049,467.645315117,36736.0
BLK ROIDIDJRNXID,2018-01-02 15:00:00,464.975363054,467.425112885,464.90196231,467.425112885,54859.0
BLK ROIDIDJRNXID,2018-01-02 16:00:00,466.984708421,467.28748649,464.782686101,464.846911752,210469.0
BLK ROIDIDJRNXID,2018-01-03 10:00:00,468.984878695,470.003314018,466.241525888,466.700280538,61398.0
BLK ROIDIDJRNXID,2018-01-03 11:00:00,468.030669023,470.397843017,467.948093186,469.572084647,56822.0
BLK ROIDIDJRNXID,2018-01-03 12:00:00,468.461898394,469.094979811,467.828816977,467.957268279,41241.0
BLK ROIDIDJRNXID,2018-01-03 13:00:00,470.553819598,470.718971272,468.324271999,468.324271999,41421.0
BLK ROIDIDJRNXID,2018-01-03 14:00:00,469.232606206,470.700621086,469.232606206,470.645570528,34362.0
BLK ROIDIDJRNXID,2018-01-03 15:00:00,471.113500271,471.801632246,469.755586507,469.755586507,54299.0
BLK ROIDIDJRNXID,2018-01-03 16:00:00,471.911733362,472.278737082,471.113500271,471.122675364,150579.0
BLK ROIDIDJRNXID,2018-01-04 10:00:00,476.1873267,476.37082856,472.526464593,473.89355345,31624.0
BLK ROIDIDJRNXID,2018-01-04 11:00:00,476.1873267,477.985644928,476.077225584,476.113925956,53058.0
BLK ROIDIDJRNXID,2018-01-04 12:00:00,476.104750863,477.150711465,475.425793981,476.022175026,32015.0
BLK ROIDIDJRNXID,2018-01-04 13:00:00,476.581855699,477.205762023,475.82032298,476.068050491,28619.0
BLK ROIDIDJRNXID,2018-01-04 14:00:00,476.994734884,477.65534158,476.563505513,476.756182466,41480.0
BLK ROIDIDJRNXID,2018-01-04 15:00:00,477.242462395,477.536065371,476.958034512,477.141536372,44294.0
BLK ROIDIDJRNXID,2018-01-04 16:00:00,478.141621509,478.306773183,476.884633768,477.481014813,154170.0
BLK ROIDIDJRNXID,2018-01-05 10:00:00,479.710562412,481.251978036,478.086570951,480.912499595,58691.0
BLK ROIDIDJRNXID,2018-01-05 11:00:00,480.215192527,482.316288824,479.068305902,479.903239365,92577.0
BLK ROIDIDJRNXID,2018-01-05 12:00:00,479.866538993,480.921674688,479.233457576,480.398694387,37147.0
BLK ROIDIDJRNXID,2018-01-05 13:00:00,479.12335646,479.958289923,479.12335646,479.499535273,27481.0
BLK ROIDIDJRNXID,2018-01-05 14:00:00,479.380259064,480.031690667,479.095831181,479.426134529,37286.0
BLK ROIDIDJRNXID,2018-01-05 15:00:00,480.068391039,480.141791783,479.141706646,479.462834901,39415.0
BLK ROIDIDJRNXID,2018-01-05 16:00:00,482.215362801,482.417214847,479.719737505,479.719737505,185136.0
BLK ROIDIDJRNXID,2018-01-08 10:00:00,483.206272845,483.206272845,480.719822642,480.719822642,70241.0
BLK ROIDIDJRNXID,2018-01-08 11:00:00,483.5274011,484.243058354,482.545666149,482.857619311,66220.0
BLK ROIDIDJRNXID,2018-01-08 12:00:00,483.481525635,484.894489957,483.307198868,483.371424519,56873.0
BLK ROIDIDJRNXID,2018-01-08 13:00:00,483.316373961,483.738428239,482.591541614,483.545751286,56122.0
BLK ROIDIDJRNXID,2018-01-08 14:00:00,484.793563934,485.133042375,483.316373961,483.316373961,44660.0
BLK ROIDIDJRNXID,2018-01-08 15:00:00,485.674372862,485.72942342,484.371509656,485.077991817,78763.0
BLK ROIDIDJRNXID,2018-01-08 16:00:00,485.811999257,486.013851303,484.729338283,485.389944979,188301.0
BLK ROIDIDJRNXID,2018-01-09 10:00:00,492.216214171,493.408976261,485.3624197,485.3624197,66725.0
BLK ROIDIDJRNXID,2018-01-09 11:00:00,492.436416403,492.463941682,490.427071036,491.225304127,80027.0
BLK ROIDIDJRNXID,2018-01-09 12:00:00,493.482377005,494.372361026,492.574042798,492.619918263,58392.0
BLK ROIDIDJRNXID,2018-01-09 13:00:00,493.170423843,494.207209352,492.61074317,493.353925703,43408.0
BLK ROIDIDJRNXID,2018-01-09 14:00:00,493.032797448,494.115458422,492.408891124,493.638353586,46829.0
BLK ROIDIDJRNXID,2018-01-09 15:00:00,491.858385544,493.408976261,491.335405243,493.207124215,68232.0
BLK ROIDIDJRNXID,2018-01-09 16:00:00,489.894915642,491.555607475,489.702238689,491.555607475,183188.0
BLK ROIDIDJRNXID,2018-01-10 10:00:00,490.77572457,491.674883684,488.656278087,490.454596315,36096.0
BLK ROIDIDJRNXID,2018-01-10 11:00:00,488.995756528,491.014276988,488.995756528,490.821600035,62918.0
BLK ROIDIDJRNXID,2018-01-10 12:00:00,487.913095554,489.445336085,487.913095554,489.21595876,46979.0
BLK ROIDIDJRNXID,2018-01-10 13:00:00,487.848869903,488.096597414,487.353414881,488.078247228,37928.0
BLK ROIDIDJRNXID,2018-01-10 14:00:00,486.92218551,488.48195132,486.701983278,487.977321205,61314.0
BLK ROIDIDJRNXID,2018-01-10 15:00:00,487.224963579,487.56444202,486.55518179,486.857959859,74211.0
BLK ROIDIDJRNXID,2018-01-10 16:00:00,487.720418601,488.160823065,486.215703349,487.188263207,148701.0
BLK ROIDIDJRNXID,2018-01-11 10:00:00,487.518566555,490.885825686,487.188263207,490.8674755,49319.0
BLK ROIDIDJRNXID,2018-01-11 11:00:00,487.573617113,488.426900762,486.876310045,486.949710789,58964.0
BLK ROIDIDJRNXID,2018-01-11 12:00:00,487.757118973,488.683803366,487.059811905,487.591967299,84266.0
BLK ROIDIDJRNXID,2018-01-11 13:00:00,488.720503738,489.096682551,487.28918923,488.105772507,98905.0
BLK ROIDIDJRNXID,2018-01-11 14:00:00,489.748114154,490.50047178,487.977321205,488.738853924,73106.0
BLK ROIDIDJRNXID,2018-01-11 15:00:00,490.665623454,491.23447922,489.527911922,489.931616014,72689.0
BLK ROIDIDJRNXID,2018-01-11 16:00:00,493.546602656,494.26225991,490.849125314,490.95922643,326144.0
BLK ROIDIDJRNXID,2018-01-12 10:00:00,508.318502386,508.749731757,501.611509403,505.08886965,169820.0
BLK ROIDIDJRNXID,2018-01-12 11:00:00,507.070689738,508.924058524,505.309071882,508.924058524,142611.0
BLK ROIDIDJRNXID,2018-01-12 12:00:00,507.905623201,507.905623201,506.171530624,507.263366691,94175.0
BLK ROIDIDJRNXID,2018-01-12 13:00:00,509.162610942,509.162610942,507.355117621,507.923973387,81023.0
BLK ROIDIDJRNXID,2018-01-12 14:00:00,506.758736576,510.474649241,506.217406089,509.226836593,95886.0
BLK ROIDIDJRNXID,2018-01-12 15:00:00,508.107475247,508.703856292,506.64863546,506.841312413,88907.0
BLK ROIDIDJRNXID,2018-01-12 16:00:00,509.703941429,510.236096823,508.180875991,508.492829153,213732.0
BLK ROIDIDJRNXID,2018-01-16 10:00:00,521.044356377,521.677437794,514.777767858,517.236692782,157348.0
BLK ROIDIDJRNXID,2018-01-16 11:00:00,520.50302589,524.585942275,520.053446333,521.016831098,208411.0
BLK ROIDIDJRNXID,2018-01-16 12:00:00,519.090061568,521.23703333,518.530380895,520.126847077,212716.0
BLK ROIDIDJRNXID,2018-01-16 13:00:00,519.998395775,520.392924774,519.007485731,519.190987591,72734.0
BLK ROIDIDJRNXID,2018-01-16 14:00:00,519.071711382,520.145197263,519.053361196,519.924995031,81179.0
BLK ROIDIDJRNXID,2018-01-16 15:00:00,516.869689062,519.21851287,514.99797009,519.21851287,229917.0
BLK ROIDIDJRNXID,2018-01-16 16:00:00,516.5577359,517.970700222,515.649401693,516.521035528,399107.0
BLK ROIDIDJRNXID,2018-01-17 10:00:00,520.824154145,522.943600628,518.658832197,522.411445234,45774.0
BLK ROIDIDJRNXID,2018-01-17 11:00:00,524.971296181,524.971296181,521.585686864,521.686612887,137056.0
BLK ROIDIDJRNXID,2018-01-17 12:00:00,527.586197686,529.008337101,523.751008812,524.741918856,115456.0
BLK ROIDIDJRNXID,2018-01-17 13:00:00,527.47609657,528.21010401,526.6503382,528.21010401,115525.0
BLK ROIDIDJRNXID,2018-01-17 14:00:00,527.237544152,528.090827801,526.92559099,527.788049732,86450.0
BLK ROIDIDJRNXID,2018-01-17 15:00:00,529.944196587,530.219449377,527.503621849,527.503621849,105744.0
BLK ROIDIDJRNXID,2018-01-17 16:00:00,528.953286543,530.815830422,527.044867199,530.063472796,362975.0
BLK ROIDIDJRNXID,2018-01-18 10:00:00,529.613893239,530.3203754,527.586197686,529.650593611,66842.0
BLK ROIDIDJRNXID,2018-01-18 11:00:00,532.770125231,534.155564274,529.503792123,529.58636796,145204.0
BLK ROIDIDJRNXID,2018-01-18 12:00:00,532.100343442,536.018108153,531.806740466,532.595798464,146903.0
BLK ROIDIDJRNXID,2018-01-18 13:00:00,532.155394,532.641673929,531.568188048,532.146218907,55125.0
BLK ROIDIDJRNXID,2018-01-18 14:00:00,532.182919279,532.88940144,531.69663935,532.06364307,59639.0
BLK ROIDIDJRNXID,2018-01-18 15:00:00,532.733424859,533.485782485,532.210444558,532.219619651,69204.0
BLK ROIDIDJRNXID,2018-01-18 16:00:00,531.439736746,533.155479137,529.476266844,532.476522255,275252.0
BLK ROIDIDJRNXID,2018-01-19 10:00:00,534.761120412,535.137299225,533.100428579,534.559268366,91990.0
BLK ROIDIDJRNXID,2018-01-19 11:00:00,535.027198109,535.541003317,533.366506276,534.880396621,77621.0
BLK ROIDIDJRNXID,2018-01-19 12:00:00,535.302450899,535.568528596,534.054638251,534.495042715,35189.0
BLK ROIDIDJRNXID,2018-01-19 13:00:00,537.981578055,537.981578055,535.320801085,535.678629712,54858.0
BLK ROIDIDJRNXID,2018-01-19 14:00:00,539.330316726,539.330316726,537.403547196,537.779726009,74724.0
BLK ROIDIDJRNXID,2018-01-19 15:00:00,540.935958001,541.679140534,538.5779591,538.94496282,78846.0
BLK ROIDIDJRNXID,2018-01-19 16:00:00,541.569039418,541.596564697,540.22947584,540.761631234,177700.0
BLK ROIDIDJRNXID,2018-01-22 10:00:00,536.320886222,543.404058018,536.155734548,543.174680693,257310.0
BLK ROIDIDJRNXID,2018-01-22 11:00:00,538.146729729,538.146729729,533.9904126,535.843781386,123347.0
BLK ROIDIDJRNXID,2018-01-22 12:00:00,538.862386983,539.367017098,537.84395166,538.321056496,75883.0
BLK ROIDIDJRNXID,2018-01-22 13:00:00,540.844207071,541.018533838,539.458768028,539.458768028,53697.0
BLK ROIDIDJRNXID,2018-01-22 14:00:00,541.449763209,541.926868045,540.743281048,541.046059117,66832.0
BLK ROIDIDJRNXID,2018-01-22 15:00:00,540.825856885,541.752541278,540.550604095,541.60573979,59250.0
BLK ROIDIDJRNXID,2018-01-22 16:00:00,544.183940923,544.477543899,540.835031978,540.835031978,132099.0
BLK ROIDIDJRNXID,2018-01-23 10:00:00,542.688400764,545.477629036,542.33974723,544.0830149,42581.0
BLK ROIDIDJRNXID,2018-01-23 11:00:00,541.376362465,542.468198532,540.009273608,542.046144254,85166.0
BLK ROIDIDJRNXID,2018-01-23 12:00:00,541.385537558,542.348922323,540.669880304,541.05523421,59737.0
BLK ROIDIDJRNXID,2018-01-23 13:00:00,541.725015999,542.06449444,539.880822306,541.101109675,44873.0
BLK ROIDIDJRNXID,2018-01-23 14:00:00,541.229560977,541.954393324,540.789156513,541.954393324,52454.0
BLK ROIDIDJRNXID,2018-01-23 15:00:00,541.633265069,542.2479963,540.605654653,541.211210791,53058.0
BLK ROIDIDJRNXID,2018-01-23 16:00:00,541.229560977,541.899342766,540.697405583,541.596564697,119621.0
BLK ROIDIDJRNXID,2018-01-24 10:00:00,542.2479963,543.1655056,540.642355025,543.07375467,61596.0
BLK ROIDIDJRNXID,2018-01-24 11:00:00,542.15624537,542.936128275,541.137810047,542.165420463,77781.0
BLK ROIDIDJRNXID,2018-01-24 12:00:00,540.853382164,542.70675095,540.614829746,542.2479963,75026.0
BLK ROIDIDJRNXID,2018-01-24 13:00:00,536.972317825,541.330487,535.972232688,540.908432722,86637.0
BLK ROIDIDJRNXID,2018-01-24 14:00:00,540.422152793,540.899257629,535.073073574,537.009018197,84536.0
BLK ROIDIDJRNXID,2018-01-24 15:00:00,539.578044237,542.330572137,539.578044237,540.96348328,54019.0
BLK ROIDIDJRNXID,2018-01-24 16:00:00,539.192690331,540.770806327,538.376107054,539.293616354,200957.0
BLK ROIDIDJRNXID,2018-01-25 10:00:00,532.164569093,537.596224149,531.42138656,536.7429405,79279.0
BLK ROIDIDJRNXID,2018-01-25 11:00:00,531.192009235,533.25640516,529.439566472,532.182919279,123390.0
BLK ROIDIDJRNXID,2018-01-25 12:00:00,529.824920378,531.834265745,529.58636796,531.338810723,93917.0
BLK ROIDIDJRNXID,2018-01-25 13:00:00,528.375255684,530.329550493,528.292679847,529.779044913,131420.0
BLK ROIDIDJRNXID,2018-01-25 14:00:00,528.439481335,528.531232265,527.01734192,528.237629289,79642.0
BLK ROIDIDJRNXID,2018-01-25 15:00:00,527.127443036,529.366165728,527.10909285,528.155053452,84275.0
BLK ROIDIDJRNXID,2018-01-25 16:00:00,528.02660215,528.733084311,525.787879458,527.265069431,241227.0
BLK ROIDIDJRNXID,2018-01-26 10:00:00,532.935276905,533.568358322,530.375425958,530.513052353,47983.0
BLK ROIDIDJRNXID,2018-01-26 11:00:00,535.173999597,535.880481758,532.660024115,532.696724487,48151.0
BLK ROIDIDJRNXID,2018-01-26 12:00:00,536.871391802,538.201780287,535.339151271,535.339151271,66241.0
BLK ROIDIDJRNXID,2018-01-26 13:00:00,536.522738268,537.220045336,536.183259827,536.825516337,60245.0
BLK ROIDIDJRNXID,2018-01-26 14:00:00,537.623749428,537.889827125,536.119034176,536.311711129,37219.0
BLK ROIDIDJRNXID,2018-01-26 15:00:00,535.541003317,537.651274707,535.476777666,537.531998498,65952.0
BLK ROIDIDJRNXID,2018-01-26 16:00:00,538.39445724,538.495383263,535.440077294,535.531828224,178420.0
BLK ROIDIDJRNXID,2018-01-29 10:00:00,534.26566539,537.229220429,534.26566539,535.09142376,58345.0
BLK ROIDIDJRNXID,2018-01-29 11:00:00,530.13687354,535.752030456,529.467091751,535.752030456,81287.0
BLK ROIDIDJRNXID,2018-01-29 12:00:00,529.797395099,531.430561653,529.558842681,529.714819262,78305.0
BLK ROIDIDJRNXID,2018-01-29 13:00:00,531.173659049,531.173659049,529.4028661,529.733169448,55712.0
BLK ROIDIDJRNXID,2018-01-29 14:00:00,529.916671308,531.036032654,529.58636796,530.852530794,48383.0
BLK ROIDIDJRNXID,2018-01-29 15:00:00,529.045037473,530.549752725,528.889060892,529.962546773,50996.0
BLK ROIDIDJRNXID,2018-01-29 16:00:00,527.035692106,530.246974656,526.989816641,529.467091751,235555.0
BLK ROIDIDJRNXID,2018-01-30 10:00:00,520.805803959,524.384090229,519.475415474,521.961865677,87989.0
BLK ROIDIDJRNXID,2018-01-30 11:00:00,522.971125907,523.98956123,517.365144084,520.420450053,133911.0
BLK ROIDIDJRNXID,2018-01-30 12:00:00,521.60403705,523.585857138,521.1452824,523.062876837,86259.0
BLK ROIDIDJRNXID,2018-01-30 13:00:00,522.328869397,522.52154635,520.833329238,521.613212143,52216.0
BLK ROIDIDJRNXID,2018-01-30 14:00:00,521.631562329,522.79679914,521.521461213,522.081141886,74909.0
BLK ROIDIDJRNXID,2018-01-30 15:00:00,518.264303198,522.310519211,517.897299478,521.833414375,86758.0
BLK ROIDIDJRNXID,2018-01-30 16:00:00,515.906304297,518.814808778,515.814553367,517.979875315,300986.0
BLK ROIDIDJRNXID,2018-01-31 10:00:00,516.218257459,520.200247821,516.218257459,518.218427733,44288.0
BLK ROIDIDJRNXID,2018-01-31 11:00:00,518.282653384,519.934170124,516.328358575,516.328358575,92470.0
BLK ROIDIDJRNXID,2018-01-31 12:00:00,518.915734801,519.163462312,517.511945572,518.365229221,55262.0
BLK ROIDIDJRNXID,2018-01-31 13:00:00,519.879119566,520.099321798,518.374404314,518.888209522,64007.0
BLK ROIDIDJRNXID,2018-01-31 14:00:00,518.255128105,519.67726752,517.888124385,519.58551659,49939.0
BLK ROIDIDJRNXID,2018-01-31 15:00:00,515.153946671,518.906559708,514.016235139,518.750583127,87841.0
BLK ROIDIDJRNXID,2018-01-31 16:00:00,515.45672474,517.778023269,513.484079745,514.63096637,252768.0
BLK ROIDIDJRNXID,2018-02-01 10:00:00,519.356139265,519.86076938,514.35571358,515.098896113,51891.0
BLK ROIDIDJRNXID,2018-02-01 11:00:00,517.585346316,519.989220682,516.566910993,519.172637405,91525.0
BLK ROIDIDJRNXID,2018-02-01 12:00:00,521.1452824,521.1452824,516.640311737,517.833073827,145733.0
BLK ROIDIDJRNXID,2018-02-01 13:00:00,517.456895014,521.585686864,517.255042968,521.154457493,64135.0
BLK ROIDIDJRNXID,2018-02-01 14:00:00,515.236522508,518.75975822,515.236522508,517.080716201,50884.0
BLK ROIDIDJRNXID,2018-02-01 15:00:00,517.007315457,517.374319177,513.410679001,515.18147195,59171.0
BLK ROIDIDJRNXID,2018-02-01 16:00:00,518.567081267,518.686357476,516.181557087,516.768763039,193191.0
BLK ROIDIDJRNXID,2018-02-02 10:00:00,511.584835494,518.631306918,509.575490127,518.631306918,86371.0
BLK ROIDIDJRNXID,2018-02-02 11:00:00,509.722291615,511.731636982,509.648890871,511.731636982,110468.0
BLK ROIDIDJRNXID,2018-02-02 12:00:00,511.41968382,513.447379373,510.089295335,510.089295335,96637.0
BLK ROIDIDJRNXID,2018-02-02 13:00:00,510.704026566,511.731636982,510.281972288,510.639800915,60085.0
BLK ROIDIDJRNXID,2018-02-02 14:00:00,507.93314848,510.786602403,507.465218737,509.988369312,72819.0
BLK ROIDIDJRNXID,2018-02-02 15:00:00,503.097874469,508.281802014,503.024473725,508.144175619,114238.0
BLK ROIDIDJRNXID,2018-02-02 16:00:00,503.088699376,506.318332112,500.978427986,502.620769633,230447.0
BLK ROIDIDJRNXID,2018-02-05 10:00:00,500.033393407,500.033393407,488.1149476,492.500642054,96668.0
BLK ROIDIDJRNXID,2018-02-05 11:00:00,507.171615761,507.410168179,499.776490803,500.088443965,114066.0
BLK ROIDIDJRNXID,2018-02-05 12:00:00,504.143835071,507.373467807,503.171275213,507.29089197,78753.0
BLK ROIDIDJRNXID,2018-02-05 13:00:00,500.189369988,504.070434327,500.189369988,504.006208676,74388.0
BLK ROIDIDJRNXID,2018-02-05 14:00:00,500.437097499,500.482972964,496.262430184,499.253510502,79240.0
BLK ROIDIDJRNXID,2018-02-05 15:00:00,491.60148294,500.051743593,491.500556917,500.024218314,112847.0
BLK ROIDIDJRNXID,2018-02-05 16:00:00,481.940110011,495.895426464,475.72857205,491.161078476,466556.0
BLK ROIDIDJRNXID,2018-02-06 10:00:00,481.14187692,486.784559115,465.415767518,468.672925533,140533.0
BLK ROIDIDJRNXID,2018-02-06 11:00:00,477.104836,487.481866183,473.52654973,481.912584732,176769.0
BLK ROIDIDJRNXID,2018-02-06 12:00:00,475.54507019,478.031520393,471.975959013,477.609466115,95737.0
BLK ROIDIDJRNXID,2018-02-06 13:00:00,480.784048293,482.233712987,475.526720004,475.994649747,114257.0
BLK ROIDIDJRNXID,2018-02-06 14:00:00,480.628071712,484.600886981,479.343558692,480.793223386,147367.0
BLK ROIDIDJRNXID,2018-02-06 15:00:00,487.848869903,488.1149476,476.618556071,479.848188807,81231.0
BLK ROIDIDJRNXID,2018-02-06 16:00:00,491.069327546,493.89525619,487.1974383,487.958971019,289167.0
BLK ROIDIDJRNXID,2018-02-07 10:00:00,493.408976261,496.978087438,489.0324569,491.032627174,75778.0
BLK ROIDIDJRNXID,2018-02-07 11:00:00,492.363015659,495.464197093,490.583047617,493.418151354,117270.0
