symbol,time,askclose,askhigh,asklow,askopen,asksize,bidclose,bidhigh,bidlow,bidopen,bidsize,close,high,low,open,volume
TRV R735QTJ8XC9X,2021-01-04 09:31:00,61.099181598,61.128928035,60.990111329,61.128928035,100.0,61.07935064,61.119012556,60.98019585,61.099181598,300.0,61.109097077,61.119012556,60.990111329,61.089266119,533636.0
TRV R735QTJ8XC9X,2021-01-04 09:32:00,61.119012556,61.119012556,61.049604203,61.099181598,400.0,61.099181598,61.109097077,61.039688724,61.07935064,400.0,61.109097077,61.119012556,61.049604203,61.099181598,101265.0
TRV R735QTJ8XC9X,2021-01-04 09:33:00,61.109097077,61.128928035,61.089266119,61.119012556,200.0,61.099181598,61.109097077,61.07935064,61.099181598,2000.0,61.109097077,61.119012556,61.089266119,61.099181598,96870.0
TRV R735QTJ8XC9X,2021-01-04 09:34:00,61.148758993,61.158674472,61.109097077,61.109097077,700.0,61.138843514,61.148758993,61.099181598,61.099181598,500.0,61.148758993,61.158674472,61.109097077,61.109097077,125801.0
TRV R735QTJ8XC9X,2021-01-04 09:35:00,61.109097077,61.188420909,61.07935064,61.148758993,200.0,61.099181598,61.17850543,61.059519682,61.138843514,300.0,61.109097077,61.1834631695,61.069435161,61.1438012535,109090.0
TRV R735QTJ8XC9X,2021-01-04 09:36:00,61.039688724,61.148758993,61.029773245,61.109097077,400.0,61.029773245,61.138843514,61.019857766,61.099181598,4200.0,61.039688724,61.1438012535,61.019857766,61.099181598,141911.0
TRV R735QTJ8XC9X,2021-01-04 09:37:00,61.009942287,61.119012556,60.950449413,61.039688724,500.0,61.000026808,61.109097077,60.940533934,61.029773245,300.0,60.9752381105,61.109097077,60.940533934,61.029773245,182705.0
TRV R735QTJ8XC9X,2021-01-04 09:38:00,60.801717228,61.009942287,60.801717228,61.009942287,500.0,60.791801749,61.000026808,60.791801749,61.000026808,600.0,60.801717228,60.990111329,60.801717228,60.990111329,101549.0
TRV R735QTJ8XC9X,2021-01-04 09:39:00,60.890956539,60.900872018,60.762055312,60.801717228,500.0,60.871125581,60.890956539,60.752139833,60.791801749,500.0,60.88104106,60.88104106,60.7570975725,60.801717228,104903.0
TRV R735QTJ8XC9X,2021-01-04 09:40:00,61.049604203,61.109097077,60.88104106,60.890956539,800.0,61.029773245,61.099181598,60.871125581,60.871125581,400.0,61.039688724,61.089266119,60.88104106,60.8959142785,56353.0
TRV R735QTJ8XC9X,2021-01-04 09:41:00,60.871125581,61.07935064,60.861210102,61.049604203,700.0,60.851294623,61.069435161,60.851294623,61.029773245,200.0,60.861210102,61.069435161,60.861210102,61.029773245,56369.0
TRV R735QTJ8XC9X,2021-01-04 09:42:00,60.910787497,60.930618455,60.851294623,60.871125581,500.0,60.900872018,60.920702976,60.841379144,60.851294623,300.0,60.910787497,60.9256607155,60.8463368835,60.861210102,55118.0
TRV R735QTJ8XC9X,2021-01-04 09:43:00,60.871125581,60.920702976,60.821548186,60.910787497,100.0,60.861210102,60.910787497,60.811632707,60.900872018,800.0,60.861210102,60.910787497,60.821548186,60.900872018,49138.0
TRV R735QTJ8XC9X,2021-01-04 09:44:00,60.88104106,60.920702976,60.831463665,60.871125581,100.0,60.871125581,60.910787497,60.821548186,60.861210102,700.0,60.890956539,60.900872018,60.8265059255,60.900872018,41407.0
TRV R735QTJ8XC9X,2021-01-04 09:45:00,60.960364892,60.98019585,60.871125581,60.88104106,300.0,60.950449413,60.970280371,60.861210102,60.871125581,400.0,60.970280371,60.970280371,60.8661678415,60.88104106,67381.0
TRV R735QTJ8XC9X,2021-01-04 09:46:00,60.990111329,61.000026808,60.930618455,60.960364892,700.0,60.98019585,60.990111329,60.920702976,60.950449413,400.0,60.98019585,60.990111329,60.930618455,60.960364892,53644.0
TRV R735QTJ8XC9X,2021-01-04 09:47:00,60.950449413,60.990111329,60.910787497,60.990111329,400.0,60.940533934,60.98019585,60.900872018,60.98019585,400.0,60.960364892,60.98019585,60.910787497,60.98019585,30372.0
TRV R735QTJ8XC9X,2021-01-04 09:48:00,60.940533934,60.950449413,60.88104106,60.950449413,600.0,60.930618455,60.940533934,60.871125581,60.940533934,200.0,60.930618455,60.950449413,60.88104106,60.920702976,37061.0
TRV R735QTJ8XC9X,2021-01-04 09:49:00,60.990111329,61.000026808,60.910787497,60.940533934,100.0,60.98019585,60.990111329,60.900872018,60.930618455,600.0,60.98019585,60.98019585,60.900872018,60.930618455,71818.0
TRV R735QTJ8XC9X,2021-01-04 09:50:00,61.019857766,61.069435161,60.930618455,60.990111329,1100.0,61.009942287,61.059519682,60.920702976,60.98019585,800.0,61.019857766,61.069435161,60.920702976,61.009942287,134877.0
TRV R735QTJ8XC9X,2021-01-04 09:51:00,60.930618455,61.019857766,60.890956539,61.019857766,300.0,60.920702976,61.009942287,60.88104106,61.009942287,1200.0,60.940533934,61.009942287,60.890956539,61.009942287,50936.0
TRV R735QTJ8XC9X,2021-01-04 09:52:00,60.831463665,60.930618455,60.831463665,60.930618455,100.0,60.821548186,60.920702976,60.821548186,60.920702976,300.0,60.821548186,60.920702976,60.821548186,60.920702976,38169.0
TRV R735QTJ8XC9X,2021-01-04 09:53:00,60.771970791,60.831463665,60.702562438,60.831463665,200.0,60.762055312,60.821548186,60.692646959,60.821548186,900.0,60.771970791,60.811632707,60.702562438,60.811632707,86890.0
