high,volume
758.78,650089.0
758.12,514395.0
753.04,448115.0
751.09,332325.0
752.07,327757.0
749.65,306398.0
753.25,560850.0
753.67,275482.0
759.68,385907.0
757.6,400277.0
757.97,291843.0
758.18,228166.0
759.14,251888.0
759.72,278709.0
759.12,419860.0
757.44,201009.0
771.33,1106816.0
775.5,1200818.0
775.28,722961.0
777.0,536237.0
778.78,465501.0
780.14,580734.0
782.4,903329.0
781.23,228906.0
787.89,1063374.0
790.8,1032233.0
793.42,797374.0
799.25,758423.0
799.45,610276.0
799.05,524271.0
799.43,877694.0
797.0,231394.0
801.68,736663.0
798.03,784205.0
798.46,423709.0
797.74,285057.0
797.69,223277.0
797.01,186184.0
799.66,546844.0
797.18,191170.0
796.92,332472.0
794.49,512320.0
795.67,334291.0
797.24,270349.0
798.0,264469.0
796.47,241352.0
796.68,369698.0
796.42,198370.0
795.1,321468.0
793.99,512687.0
793.77,435039.0
796.5,349433.0
795.25,245895.0
799.5,332665.0
799.25,516221.0
799.03,229634.0
808.75,1003672.0
806.88,816638.0
804.79,467292.0
806.82,333822.0
811.88,570067.0
813.48,711345.0
814.14,728038.0
813.97,190113.0
817.99,857255.0
820.63,688047.0
820.88,416143.0
821.64,507424.0
820.67,279373.0
820.25,279723.0
819.93,511356.0
817.45,165951.0
816.0,1011845.0
812.58,560770.0
810.81,361657.0
810.34,256154.0
812.76,243785.0
813.07,366758.0
809.5,445570.0
809.72,359540.0
811.72,433669.0
811.5,458983.0
809.89,338077.0
806.82,163221.0
806.35,163433.0
807.25,221860.0
807.48,310639.0
807.5,139055.0
813.5,468627.0
813.64,548780.0
810.61,324897.0
811.17,165906.0
811.28,173837.0
809.97,279281.0
809.92,326327.0
809.43,215194.0
816.2,608858.0
813.4,462150.0
813.4,348762.0
813.17,425053.0
811.35,177517.0
810.06,307635.0
809.06,597087.0
808.33,267813.0
812.71,483639.0
812.73,355083.0
811.85,255167.0
812.61,228559.0
814.62,287840.0
814.33,229865.0
818.16,610625.0
818.5,185750.0
823.0,698587.0
818.0,468408.0
819.18,300921.0
818.43,157522.0
821.96,286333.0
822.43,284105.0
823.94,531575.0
822.76,138160.0
828.99,536787.0
833.57,663201.0
834.63,521427.0
836.11,424761.0
836.68,282114.0
836.75,315565.0
837.41,725263.0
836.97,337232.0
836.4,513531.0
839.74,727131.0
840.66,498057.0
843.88,532003.0
843.28,269445.0
843.13,284932.0
840.86,501357.0
839.56,178993.0
839.59,620421.0
836.0,624847.0
836.6,320357.0
836.48,174953.0
836.21,216537.0
834.07,307339.0
835.98,416048.0
835.8,273483.0
834.0,573826.0
825.79,1181657.0
829.59,465514.0
829.73,289321.0
827.97,246126.0
830.1,247997.0
831.11,420968.0
830.38,186609.0
826.99,471340.0
826.42,567684.0
823.0,403815.0
821.21,388569.0
822.0,178692.0
822.2,261051.0
823.33,545830.0
823.48,233506.0
833.32,673864.0
832.75,559637.0
826.98,365393.0
828.6,366122.0
828.99,349415.0
829.38,404582.0
833.77,837829.0
832.81,147917.0
838.84,836253.0
841.86,938315.0
842.49,688517.0
840.08,542166.0
839.89,453659.0
840.23,557118.0
841.09,1345962.0
840.58,181466.0
818.12,3122332.0
814.8,1885646.0
813.0,1062645.0
814.9,968979.0
813.98,598028.0
812.25,784296.0
811.0,1609518.0
810.2,321810.0
810.72,876572.0
806.89,712257.0
807.75,484206.0
807.29,269681.0
807.65,235032.0
807.17,274659.0
807.89,536365.0
807.7,262493.0
811.0,593041.0
816.19,989563.0
815.65,451604.0
814.94,311130.0
812.38,225922.0
812.56,207781.0
812.4,469797.0
812.5,154820.0
817.99,444144.0
819.9,651236.0
819.71,298121.0
820.0,242305.0
819.63,187493.0
821.0,319232.0
821.48,464905.0
820.3,192505.0
825.0,499357.0
824.47,468240.0
824.78,307090.0
823.78,226732.0
823.94,151378.0
824.64,221863.0
824.27,368212.0
821.95,168693.0
825.87,412260.0
827.23,450326.0
827.1,324763.0
827.38,179695.0
827.4,168883.0
827.99,234144.0
827.85,351116.0
827.59,210545.0
834.9,601425.0
840.58,854419.0
842.97,729539.0
842.0,359569.0
841.09,312967.0
840.99,359058.0
838.55,673978.0
836.81,169497.0
837.7,379122.0
835.92,446981.0
835.86,280011.0
837.33,221964.0
837.94,195830.0
838.31,234833.0
836.67,485906.0
836.39,301201.0
840.35,545204.0
841.49,659070.0
840.51,283898.0
841.15,212560.0
840.84,195943.0
840.82,228073.0
842.78,586303.0
842.81,162014.0
844.59,591814.0
844.96,617203.0
843.87,299183.0
842.64,172222.0
842.57,151975.0
842.7,181819.0
845.0,501876.0
844.14,163037.0
845.95,584937.0
847.27,550038.0
846.6,241558.0
846.83,244814.0
847.18,257027.0
847.0,211444.0
845.6,471425.0
845.07,315446.0
855.18,816592.0
857.93,640120.0
857.86,452414.0
857.6,234039.0
857.34,221860.0
857.16,219621.0
856.75,446405.0
856.52,277121.0
857.88,458789.0
855.35,514678.0
857.0,297546.0
857.95,205434.0
858.43,297477.0
857.94,237918.0
856.49,355471.0
855.61,175422.0
860.83,549084.0
857.83,637842.0
852.75,680662.0
852.83,301464.0
852.17,150904.0
852.87,174208.0
852.44,531074.0
852.19,320983.0
845.81,961478.0
844.03,725610.0
844.0,341994.0
842.79,200431.0
842.66,168461.0
845.0,364253.0
844.99,578199.0
845.24,259731.0
844.0,500302.0
848.49,436149.0
850.62,366254.0
851.46,232747.0
852.62,272072.0
850.93,233246.0
849.97,391393.0
848.7,176415.0
854.09,477205.0
853.25,357584.0
849.64,298610.0
846.56,387860.0
847.0,192641.0
847.68,249542.0
845.91,461916.0
845.38,303441.0
853.99,419950.0
852.27,384819.0
853.15,359394.0
854.83,399180.0
853.08,193174.0
854.35,261887.0
854.23,447218.0
853.48,196177.0
854.82,311987.0
853.87,389968.0
851.11,296690.0
851.13,197996.0
849.95,134208.0
849.97,130646.0
849.46,430205.0
849.0,194693.0
851.96,333730.0
849.94,292094.0
849.98,195272.0
850.85,208422.0
850.57,187363.0
850.03,173729.0
849.75,343259.0
849.94,180500.0
848.49,445432.0
845.29,499763.0
843.41,364234.0
843.48,187000.0
845.91,243928.0
845.41,154876.0
846.65,403834.0
846.8,208911.0
847.99,307382.0
848.49,476560.0
847.89,220250.0
846.23,159377.0
847.05,134768.0
847.9,274074.0
847.57,399668.0
846.02,163491.0
853.01,511577.0
853.0,507565.0
852.6,219855.0
851.34,124062.0
851.47,233741.0
851.3,189857.0
850.9,302214.0
850.88,163267.0
854.21,317388.0
856.4,517388.0
855.17,183963.0
854.25,113209.0
854.45,149888.0
853.23,276405.0
854.13,314933.0
853.2,131409.0
857.35,365109.0
856.5,487575.0
855.89,191412.0
855.0,193720.0
854.76,187014.0
853.63,191172.0
853.36,449888.0
852.46,308185.0
855.05,293597.0
855.19,349276.0
855.67,287408.0
855.65,199469.0
855.48,122395.0
855.12,140959.0
854.78,279788.0
854.74,125860.0
853.8,305050.0
851.4,468010.0
850.67,297789.0
850.51,160495.0
850.56,139489.0
850.93,152216.0
852.25,280331.0
852.69,217517.0
854.45,358920.0
849.9,519855.0
849.66,213086.0
851.0,225967.0
851.18,130023.0
854.22,414019.0
854.09,431221.0
853.56,221687.0
855.5,274360.0
855.0,328772.0
853.05,252593.0
853.07,159614.0
853.44,154456.0
854.0,173410.0
854.0,284310.0
853.42,156217.0
853.5,1004252.0
852.15,241552.0
851.98,172951.0
852.93,202414.0
853.86,199048.0
853.77,150168.0
853.35,381276.0
852.94,579688.0
857.0,414446.0
857.8,566197.0
856.93,245532.0
856.95,169355.0
856.67,160395.0
856.53,183369.0
857.0,366089.0
857.01,92908.0
862.88,599477.0
861.98,650243.0
855.47,926835.0
852.39,384027.0
848.88,451596.0
846.75,474389.0
846.62,607242.0
843.6,189634.0
847.35,579876.0
845.49,486814.0
849.22,388108.0
849.05,245459.0
848.25,260545.0
848.93,175556.0
849.37,344423.0
848.25,111263.0
848.4,224541.0
849.73,309122.0
850.89,256554.0
850.4,126316.0
850.45,184467.0
849.54,126635.0
848.97,377289.0
847.92,185400.0
851.83,287370.0
849.65,176792.0
850.44,175834.0
850.87,209710.0
850.58,153526.0
849.87,278048.0
847.73,605368.0
846.47,189277.0
839.68,594067.0
843.7,523622.0
844.75,322884.0
847.36,224876.0
850.55,342904.0
848.28,174110.0
849.24,316808.0
847.44,230553.0
855.51,465796.0
854.15,335418.0
855.8,398732.0
856.82,294347.0
857.47,284551.0
858.47,362799.0
857.68,517879.0
857.0,177093.0
864.34,712982.0
868.53,761941.0
869.43,528793.0
870.98,395161.0
872.16,355138.0
875.1,489917.0
876.43,724803.0
874.74,231370.0
877.05,574174.0
876.24,466271.0
874.85,286406.0
874.66,281281.0
876.18,281109.0
875.25,194699.0
877.0,464995.0
877.0,150259.0
886.09,753786.0
888.3,715715.0
890.35,538309.0
889.49,266184.0
890.25,256470.0
888.99,322577.0
889.32,590269.0
887.64,381229.0
892.19,614249.0
892.76,678754.0
889.84,435883.0
889.9,305970.0
890.32,187808.0
891.25,297488.0
893.5,585368.0
892.38,235795.0
