high,volume
50.06,1646494.0
50.06,0.0
57.45,4046071.0
67.44,5723684.0
62.7,1581960.0
67.825,1921658.0
70.8,3029546.0
69.73,230473.0
93.93,3133589.0
96.51,3581089.0
95.94,1678671.0
93.17,1080279.0
92.2,629027.0
92.8,954914.0
93.5,1843229.0
81.19,84821.0
89.16,1473131.0
84.29,1167288.0
80.8,538715.0
80.5,206467.0
80.5,145839.0
79.9,316972.0
78.0,529598.0
78.94,58689.0
79.39,604458.0
74.65,965848.0
73.3,302035.0
73.05,358143.0
71.87,373834.0
70.39,332813.0
70.75,451691.0
68.895,20135.0
74.0,473741.0
76.48,978712.0
73.0,423948.0
75.15,287935.0
75.0,142752.0
79.43,499778.0
79.89,771445.0
78.065,473780.0
85.87,882046.0
89.5,1169943.0
88.99,428596.0
87.09,351048.0
84.71,349342.0
84.66,247794.0
83.99,177774.0
84.66,40821.0
95.23,518605.0
91.98,477825.0
89.74,297938.0
89.37,151070.0
88.8,122707.0
88.6,438434.0
85.07,483669.0
78.5,27033.0
82.73,290919.0
81.95,492118.0
78.4,143521.0
77.59,619204.0
78.9,192286.0
78.105,162778.0
76.28,141385.0
76.14,15841.0
81.0,238886.0
78.19,218566.0
78.3,205904.0
74.85,167047.0
74.85,149764.0
75.0,82757.0
74.3,237483.0
74.3,18258.0
76.52,260741.0
75.115,193520.0
75.08,157903.0
76.36,165101.0
76.22,73053.0
77.845,230363.0
80.74,324352.0
79.29,22069.0
78.66,104355.0
79.655,144968.0
84.74,464390.0
85.84,398188.0
84.25,238451.0
85.03,249082.0
88.0,418421.0
85.96,20289.0
86.98,154935.0
86.825,193344.0
85.27,145139.0
85.0,128833.0
86.22,108811.0
85.85,71262.0
85.2,105265.0
84.45,14247.0
85.2,87298.0
83.9,71656.0
83.3,62291.0
82.7,35286.0
82.245,63859.0
83.5,65852.0
82.43,112138.0
80.85,8286.0
81.9,35011.0
81.2817,189287.0
79.0,115003.0
78.74,57108.0
79.29,51758.0
79.57,62273.0
78.87,102749.0
78.545,9893.0
83.7299,120025.0
86.69,522558.0
86.75,226722.0
85.23,146750.0
85.0,146057.0
82.65,168463.0
82.35,256262.0
82.2,30229.0
80.3899,209896.0
81.0,261428.0
82.74,140954.0
81.79,106534.0
80.22,105245.0
