high,volume
758.78,402728.0
755.75,247361.0
758.12,219871.0
756.4,95907.0
756.97,76494.0
755.59,122123.0
753.04,121246.0
752.34,94449.0
752.58,133962.0
750.71,98458.0
751.09,80235.0
750.31,73376.0
750.05,90940.0
749.77,87774.0
750.56,53519.0
752.07,70437.0
751.02,121853.0
749.76,81948.0
749.63,84154.0
749.65,101929.0
749.38,49519.0
749.27,70796.0
749.94,78391.0
749.84,76971.0
750.46,132034.0
753.25,273454.0
753.67,275482.0
759.68,241982.0
758.43,143925.0
757.6,131086.0
755.93,99601.0
755.9,85445.0
756.98,84145.0
757.97,104420.0
757.25,48230.0
757.18,55536.0
757.59,83657.0
757.95,58211.0
757.75,67402.0
757.68,50381.0
758.18,52172.0
757.59,65810.0
758.4,54523.0
759.14,85953.0
758.66,45602.0
758.32,50024.0
759.48,97634.0
759.72,66555.0
759.58,64496.0
759.12,48308.0
759.08,78921.0
758.5,83666.0
758.27,208965.0
757.44,201009.0
770.0,695392.0
771.33,411424.0
772.0,361393.0
775.05,367746.0
775.5,280367.0
774.8,191312.0
774.8,183374.0
775.0,192520.0
775.28,176294.0
775.25,170773.0
775.99,182137.0
775.66,127074.0
776.1,102757.0
777.0,124269.0
778.67,178343.0
778.78,107227.0
778.42,92357.0
777.88,87574.0
778.6,137666.0
778.71,108032.0
778.6,85163.0
780.14,249873.0
779.45,142692.0
780.1,134829.0
781.0,174098.0
782.4,451710.0
781.23,228906.0
784.28,555978.0
787.89,507396.0
788.34,344096.0
787.48,222822.0
788.35,207961.0
790.8,257354.0
791.3,218869.0
791.83,210089.0
792.84,179738.0
793.42,188678.0
793.91,149115.0
795.0,161682.0
796.8,218422.0
799.25,229204.0
799.45,177873.0
798.99,158116.0
798.26,163327.0
798.0,110960.0
797.87,108216.0
797.49,102606.0
798.15,151286.0
799.05,162163.0
799.15,129590.0
799.43,169587.0
799.21,175817.0
798.06,402700.0
797.0,231394.0
801.68,512374.0
800.1,224289.0
798.03,328934.0
796.6,225617.0
794.8,132552.0
795.58,97102.0
796.5,123668.0
797.8,112789.0
798.46,99235.0
797.98,88017.0
797.74,75348.0
797.06,78085.0
796.95,48279.0
796.67,83345.0
797.66,72486.0
797.69,56074.0
797.0,40146.0
797.08,54571.0
797.01,67236.0
796.28,39168.0
796.5,33874.0
796.76,45906.0
799.13,102609.0
799.4,137357.0
799.66,118850.0
799.0,188028.0
797.18,191170.0
796.92,181944.0
795.26,150528.0
794.49,99891.0
793.08,200414.0
792.99,129910.0
793.54,82105.0
794.32,90396.0
795.6,128178.0
795.67,68117.0
795.5,47600.0
795.69,51576.0
796.69,91764.0
797.24,63573.0
796.81,63436.0
796.56,59087.0
797.12,60045.0
798.0,75213.0
797.74,70124.0
796.47,96781.0
795.53,67032.0
795.83,41452.0
795.78,36087.0
796.08,78035.0
796.34,63265.0
796.68,82488.0
796.16,145910.0
796.42,198370.0
795.1,179059.0
793.54,142409.0
792.84,267406.0
793.99,114571.0
793.95,74577.0
793.5,56133.0
793.17,76941.0
793.39,124335.0
792.23,134380.0
793.77,99383.0
796.5,175804.0
795.2,52685.0
795.73,71026.0
794.47,49918.0
794.06,49760.0
793.0,60042.0
794.87,78770.0
795.25,57323.0
795.07,51886.0
795.73,64998.0
798.73,120807.0
799.5,94974.0
799.04,94216.0
799.25,120510.0
798.87,97065.0
798.59,204430.0
799.03,229634.0
808.17,687521.0
808.75,316151.0
806.88,279336.0
803.19,227269.0
803.75,168197.0
805.0,141836.0
803.0,145156.0
804.49,153380.0
804.12,76285.0
804.79,92471.0
804.83,56615.0
805.67,104990.0
806.82,90919.0
806.82,81298.0
807.89,123021.0
808.4,104792.0
809.98,149237.0
811.88,193017.0
811.55,186084.0
811.35,152204.0
813.48,227692.0
813.27,145365.0
812.75,95632.0
812.75,107886.0
813.39,167500.0
814.14,357020.0
813.97,190113.0
815.41,497472.0
817.99,359783.0
820.0,222646.0
820.63,232620.0
819.98,131826.0
819.02,100955.0
819.75,135549.0
819.23,77850.0
819.21,66411.0
820.88,136333.0
821.64,174977.0
