high,volume
50.06,1646494.0
50.06,0.0
50.06,0.0
50.06,0.0
50.06,0.0
50.06,0.0
50.06,0.0
50.06,0.0
53.94,2111376.0
57.45,1934695.0
64.37,2515448.0
67.44,1691536.0
63.22,957066.0
62.58,559634.0
60.89,550418.0
62.0,489035.0
62.0,208286.0
62.7,334221.0
64.29,484425.0
63.94,251322.0
67.0,602464.0
67.825,583447.0
70.8,1009567.0
69.0,614557.0
69.58,613485.0
68.98,791937.0
69.73,230473.0
83.4,1848953.0
93.93,1284636.0
96.51,1440925.0
91.9,820789.0
93.7,709112.0
93.82,610263.0
92.49,492703.0
92.74,242286.0
95.94,544485.0
94.75,399197.0
91.48,252910.0
91.0,265003.0
93.0,403714.0
93.17,158652.0
92.2,103317.0
91.7,75664.0
91.88,88547.0
91.23,361499.0
90.49,214037.0
88.25,220890.0
88.88,242337.0
92.8,277650.0
92.67,257610.0
93.5,435913.0
89.16,318923.0
85.99,830783.0
81.19,84821.0
89.16,853876.0
86.28,619255.0
84.29,359627.0
82.2,271457.0
80.84,359898.0
79.275,176306.0
80.5,239328.0
80.29,125640.0
80.8,105772.0
80.0,67975.0
80.5,61559.0
80.418,66391.0
80.42,47892.0
79.85,30625.0
79.79,43681.0
80.5,47859.0
79.795,24034.0
79.7,30265.0
79.5,70664.0
79.9,36382.0
79.52,92861.0
78.81,117065.0
77.8,90595.0
77.6,80280.0
77.14,110118.0
78.0,248605.0
78.94,58689.0
79.39,301932.0
75.98,302526.0
74.65,309007.0
73.49,289605.0
72.8,212625.0
73.83,154611.0
73.3,70225.0
72.94,70531.0
72.69,94261.0
72.39,67018.0
71.8,63993.0
72.45,85380.0
73.05,144080.0
72.01,64690.0
71.87,63990.0
71.52,73032.0
71.25,51983.0
70.9,184829.0
70.39,109195.0
69.98,94519.0
69.75,73128.0
70.01,55971.0
70.75,105350.0
70.59,83831.0
70.26,114144.0
69.805,148366.0
68.895,20135.0
74.0,236992.0
73.4,236749.0
75.5,327324.0
75.0,143660.0
76.48,238494.0
75.77,269234.0
72.4,223994.0
72.51,86975.0
73.0,56662.0
73.0,56317.0
74.81,105612.0
75.0,96353.0
75.15,48699.0
75.0,37271.0
74.625,31166.0
75.0,44354.0
74.99,40080.0
74.99,27152.0
