time,close,high,low,open,volume
19/9/2014 9:30,92.7,92.7,92.7,92.7,48085051
19/9/2014 9:45,92.7,92.7,92.7,92.7,0
19/9/2014 10:00,92.7,92.7,92.7,92.7,0
19/9/2014 10:15,92.7,92.7,92.7,92.7,0
19/9/2014 10:30,92.7,92.7,92.7,92.7,0
19/9/2014 10:45,92.7,92.7,92.7,92.7,0
19/9/2014 11:00,92.7,92.7,92.7,92.7,0
19/9/2014 11:15,92.7,92.7,92.7,92.7,0
19/9/2014 11:30,92.7,92.7,92.7,92.7,0
19/9/2014 11:45,99.46,99.5,92.39,92.7,43240334
19/9/2014 12:00,92.42,99.68,92,99.44,39682026
19/9/2014 12:15,92.11,93.12,92.01,92.42,15995311
19/9/2014 12:30,90.13,92.12,90.11,92.12,20040189
19/9/2014 12:45,90.55,90.89,90.11,90.14,10934859
19/9/2014 13:00,90.15,90.7,90.05,90.55,8490991
19/9/2014 13:15,90.73,90.74,89.95,90.15,20083654
19/9/2014 13:30,91.86,91.94,90.7,90.73,7615404
19/9/2014 13:45,91.88,92.2,91.51,91.85,6604404
19/9/2014 14:00,92.62,92.95,91.72,91.89,7481867
19/9/2014 14:15,92.65,92.8,92.11,92.61,4225968
19/9/2014 14:30,92.38,92.7,92.15,92.65,2576645
19/9/2014 14:45,91.14,92.4,90.72,92.37,5113805
19/9/2014 15:00,91.78,91.86,91,91.15,3482439
19/9/2014 15:15,91.93,92.01,91.17,91.76,3828139
19/9/2014 15:30,92.93,92.95,91.75,91.95,7103662
19/9/2014 15:45,93.44,93.9,92.7,92.93,13918855
19/9/2014 16:00,93.89,93.89,93.3,93.44,2392601
22/9/2014 9:30,91.01,92.95,90.5,92.95,9444840
22/9/2014 9:45,91.95,92.17,91,91.01,4352927
22/9/2014 10:00,91.16,92,91.13,91.98,2511196
22/9/2014 10:15,90.64,91.2,90.6,91.19,3375855
22/9/2014 10:30,90.61,90.8,90.54,90.63,2281160
22/9/2014 10:45,90.16,91.09,90.11,90.6,3938691
22/9/2014 11:00,89.85,90.34,89.51,90.16,6433677
22/9/2014 11:15,89.93,90.7,89.72,89.86,4520718
22/9/2014 11:30,90,90.14,89.75,89.98,1740500
22/9/2014 11:45,89.64,90.09,89.62,89.99,1545523
22/9/2014 12:00,89.97,89.98,89.51,89.6,2110847
22/9/2014 12:15,89.67,90.08,89.65,89.97,1577598
22/9/2014 12:30,89.95,89.98,89.6,89.68,1200782
22/9/2014 12:45,89.76,90.2,89.71,89.95,1746921
22/9/2014 13:00,90.2,90.4,89.76,89.76,1521196
