high,volume
89.01,1762715.0
88.88,1095644.0
88.67,704255.0
88.81,551960.0
88.72,439778.0
88.69,341035.0
88.73,369694.0
88.77,365852.0
88.85,517283.0
88.66,377484.0
88.59,273887.0
88.67,293474.0
88.74,772241.0
88.66,774489.0
90.0,2152135.0
90.89,1706895.0
90.63,1124558.0
90.03,775639.0
90.4,713506.0
90.5,563126.0
90.12,494010.0
90.25,319146.0
90.24,265337.0
90.4,414441.0
90.42,410036.0
90.39,459169.0
90.5,1332787.0
90.61,286104.0
93.64,3650965.0
93.88,1947251.0
93.84,1170899.0
93.64,696309.0
93.53,1041388.0
93.48,471888.0
93.87,753899.0
94.28,1018076.0
94.48,755128.0
94.46,645797.0
94.52,596357.0
94.6,902514.0
94.8,2019843.0
94.48,867422.0
94.5,1362546.0
93.77,990933.0
93.76,675603.0
93.79,690409.0
93.59,424971.0
93.84,462183.0
94.01,369248.0
93.91,172290.0
93.89,179329.0
94.01,265640.0
93.99,326459.0
93.91,253136.0
93.98,624507.0
93.91,328763.0
94.72,896131.0
94.18,479682.0
94.35,988695.0
95.65,2343883.0
95.31,1034429.0
95.44,928329.0
95.07,503346.0
95.18,466795.0
94.9,430114.0
94.85,238495.0
95.13,557806.0
95.18,543628.0
95.08,825249.0
94.75,389933.0
96.84,2630382.0
97.22,2048997.0
97.49,1362035.0
97.49,981132.0
97.44,690158.0
97.74,759136.0
97.68,546968.0
97.9,726526.0
97.84,587301.0
97.27,732188.0
96.99,756375.0
96.8,553541.0
96.88,1148779.0
96.76,885766.0
97.44,1492852.0
97.12,718071.0
97.07,810715.0
96.67,747343.0
96.44,1526140.0
96.31,386595.0
96.33,225840.0
96.38,243668.0
96.63,372490.0
96.84,274038.0
96.88,274414.0
96.91,429536.0
96.95,858107.0
96.95,67478.0
96.85,1137442.0
96.4,1618032.0
95.58,736939.0
95.48,883351.0
95.68,539609.0
95.67,467305.0
95.84,422173.0
96.01,274874.0
96.09,315765.0
95.96,215264.0
95.95,259556.0
95.87,367385.0
95.89,773309.0
95.95,103443.0
96.69,1388399.0
96.68,471409.0
96.65,370325.0
96.81,372880.0
97.38,624823.0
97.38,436348.0
97.11,254331.0
97.05,217345.0
97.03,278231.0
96.73,431436.0
96.6,318345.0
96.6,281489.0
96.42,912963.0
96.32,1852133.0
96.34,1394806.0
95.85,480179.0
96.11,1239181.0
96.14,520153.0
96.29,255900.0
96.27,195109.0
96.25,201094.0
96.58,256849.0
96.5,188820.0
96.5,236963.0
96.42,250411.0
96.32,192441.0
96.21,533764.0
96.18,104663.0
96.27,1059357.0
96.1,500706.0
95.88,705803.0
95.6,1222985.0
95.6,305585.0
95.86,419267.0
95.83,264455.0
95.6,177908.0
95.47,164912.0
95.58,226097.0
95.57,167677.0
95.79,307474.0
96.0,652803.0
96.0,385357.0
96.7,1820221.0
96.28,806298.0
96.44,413710.0
96.39,434194.0
96.24,331982.0
96.27,274615.0
96.12,479636.0
95.88,253484.0
95.93,147623.0
95.97,403627.0
95.98,295672.0
96.01,275626.0
96.14,646773.0
96.18,401503.0
97.08,1156287.0
96.7,994691.0
96.48,580050.0
96.4,554724.0
96.28,532051.0
96.25,705460.0
96.23,414104.0
96.34,420002.0
96.45,379602.0
96.59,572836.0
96.46,475051.0
96.46,682951.0
96.27,1179956.0
96.11,695068.0
97.5,1922119.0
97.66,1322673.0
97.34,907092.0
97.37,546885.0
97.44,576297.0
97.51,642044.0
97.64,563071.0
97.8,513668.0
97.97,578100.0
97.82,565893.0
98.0,967467.0
98.3,1307358.0
98.51,2570805.0
98.66,765358.0
103.15,10430349.0
101.81,2981158.0
101.67,2058670.0
101.04,2214726.0
100.79,2037528.0
101.08,1415706.0
100.75,945924.0
101.5,1348128.0
101.69,1371894.0
101.85,1512523.0
101.99,1009977.0
101.93,1895270.0
101.85,2585513.0
101.5,675009.0
102.96,5058521.0
103.16,3114059.0
103.77,2128988.0
103.79,1192633.0
103.54,1516027.0
103.67,1400626.0
103.67,606359.0
103.59,585746.0
104.21,1438024.0
104.27,942374.0
104.25,1080774.0
104.16,1072062.0
104.2,2238708.0
104.19,510233.0
104.57,2431753.0
103.47,1776879.0
103.01,1010656.0
102.66,1139523.0
102.9,909767.0
103.01,661012.0
102.93,483270.0
103.0,339283.0
103.23,519417.0
103.17,357620.0
103.08,387793.0
102.84,487707.0
102.85,1344760.0
102.87,395171.0
102.7,1344564.0
102.0,1197433.0
102.0,618890.0
101.95,587137.0
102.11,464765.0
102.05,378647.0
102.43,394308.0
102.38,251119.0
102.22,294376.0
102.12,208272.0
102.04,224539.0
102.01,255638.0
102.06,746428.0
102.07,764926.0
101.45,1718900.0
101.0,1315056.0
100.7,845794.0
100.65,599409.0
100.78,556543.0
100.74,363110.0
100.53,249237.0
100.66,224623.0
100.69,249048.0
100.97,377119.0
101.0,331911.0
100.93,356922.0
101.0,796066.0
101.02,507891.0
100.97,1076400.0
101.59,1131169.0
101.31,438037.0
101.34,376932.0
101.18,239382.0
101.38,263813.0
101.5,369227.0
101.77,423092.0
101.86,253467.0
101.88,279754.0
102.09,441128.0
101.93,267832.0
101.82,725765.0
101.5,374689.0
102.38,1340679.0
101.83,600220.0
101.66,505614.0
101.32,335164.0
101.2,408623.0
101.35,212340.0
101.44,189236.0
101.35,109142.0
101.44,168255.0
101.65,299117.0
101.59,214079.0
101.41,208689.0
101.64,609903.0
101.62,447040.0
101.46,883822.0
101.45,457144.0
101.35,347768.0
101.34,347230.0
101.14,463198.0
100.89,303500.0
100.84,175334.0
100.89,163912.0
101.15,238015.0
101.04,168495.0
100.89,197578.0
100.86,263438.0
100.9,691211.0
100.84,550482.0
101.54,1210622.0
101.14,370788.0
101.1,357762.0
101.18,474781.0
100.95,279943.0
101.08,285661.0
101.05,163707.0
101.02,292606.0
101.02,189570.0
100.98,258103.0
100.9,208568.0
100.79,320049.0
100.54,992055.0
100.4,182665.0
100.58,1352851.0
100.67,429574.0
101.19,750841.0
101.34,373929.0
101.39,393015.0
101.53,566045.0
101.7,411678.0
101.57,235003.0
101.54,349727.0
101.46,297728.0
101.27,392401.0
101.13,365849.0
101.06,545890.0
100.96,289563.0
101.46,822143.0
101.05,508013.0
101.13,600228.0
101.38,519272.0
101.58,344095.0
101.56,254434.0
101.16,243503.0
101.06,229849.0
101.18,178196.0
101.34,265652.0
101.25,256705.0
101.18,503387.0
101.05,517587.0
100.83,213987.0
102.17,1384694.0
102.77,1228991.0
103.35,1175869.0
103.69,820912.0
103.67,621477.0
103.53,408137.0
103.46,281078.0
103.37,244163.0
103.7,386429.0
103.96,534262.0
103.91,385234.0
103.84,641757.0
103.75,1195750.0
103.62,652071.0
104.0,1564940.0
103.05,967577.0
103.15,580224.0
103.54,645907.0
103.74,418056.0
103.78,337654.0
103.67,176652.0
103.94,247021.0
104.0,429904.0
104.18,1280681.0
104.07,348407.0
103.89,379285.0
103.75,701385.0
103.38,69146.0
103.91,1110367.0
103.28,883640.0
103.26,922200.0
102.97,721478.0
102.9,493216.0
102.87,312181.0
102.9,249296.0
102.87,336367.0
102.97,259924.0
102.91,264553.0
102.81,462002.0
102.8,293500.0
102.65,791107.0
102.4,410062.0
103.78,1425912.0
103.99,837600.0
103.84,447791.0
104.3,885909.0
104.44,621739.0
104.08,1016956.0
104.14,316630.0
104.1,337639.0
103.81,857612.0
103.47,429196.0
103.47,402438.0
103.34,439697.0
103.32,867378.0
103.17,696888.0
103.59,1047798.0
102.94,1406878.0
101.87,1681331.0
101.45,647111.0
101.38,580519.0
101.31,483890.0
101.34,388762.0
101.69,764110.0
101.43,379891.0
101.59,626051.0
101.41,459286.0
101.46,482159.0
101.64,875660.0
101.6,348411.0
102.13,2105602.0
100.87,1512710.0
101.48,1710654.0
101.41,1317159.0
101.64,982312.0
101.19,667752.0
101.19,358728.0
101.17,355017.0
101.56,620059.0
101.55,459646.0
101.87,656366.0
101.83,406421.0
101.8,806852.0
101.65,343798.0
102.1,1168903.0
101.61,468535.0
101.75,684128.0
101.03,441489.0
101.16,281357.0
101.17,253170.0
101.23,509405.0
101.33,306520.0
101.38,193599.0
101.32,281909.0
101.01,329953.0
100.97,989612.0
100.91,1039398.0
100.82,459528.0
101.43,1272747.0
101.64,720629.0
101.72,1217589.0
101.72,432690.0
101.63,500400.0
101.49,393889.0
101.33,413755.0
101.35,543056.0
100.98,356384.0
100.75,223810.0
100.69,300706.0
100.64,351038.0
100.62,1074794.0
100.55,267024.0
101.73,1313947.0
101.5,558697.0
101.6,577328.0
101.6,617390.0
101.99,575034.0
102.01,446443.0
102.28,470410.0
102.37,352527.0
102.36,327014.0
102.54,428456.0
102.39,326986.0
102.25,459778.0
102.35,1010694.0
102.2,85264.0
