symbol,time,close,high,low,open,volume
AMZN R735QTJ8XC9X,2017-01-04,753.67,758.78,747.76,757.92,3415411.0
AMZN R735QTJ8XC9X,2017-01-05,757.18,759.72,754.16,758.39,2457659.0
AMZN R735QTJ8XC9X,2017-01-06,780.45,782.4,760.29,761.55,5745302.0
AMZN R735QTJ8XC9X,2017-01-07,795.99,799.45,778.42,782.36,5895039.0
AMZN R735QTJ8XC9X,2017-01-10,796.92,801.68,791.81,797.23,3377109.0
AMZN R735QTJ8XC9X,2017-01-11,795.9,798.0,789.54,796.6,2523321.0
AMZN R735QTJ8XC9X,2017-01-12,799.02,799.5,789.5,793.66,2943042.0
AMZN R735QTJ8XC9X,2017-01-13,813.64,814.14,799.5,800.09,4820987.0
AMZN R735QTJ8XC9X,2017-01-14,817.14,821.64,811.37,814.32,3705272.0
AMZN R735QTJ8XC9X,2017-01-18,809.72,816.0,803.5,815.7,3606079.0
AMZN R735QTJ8XC9X,2017-01-19,807.48,811.72,804.27,809.5,2228937.0
AMZN R735QTJ8XC9X,2017-01-20,809.04,813.64,807.32,810.0,2502849.0
AMZN R735QTJ8XC9X,2017-01-21,808.33,816.2,806.25,815.28,3194875.0
AMZN R735QTJ8XC9X,2017-01-24,817.88,818.5,805.08,806.8,2636528.0
AMZN R735QTJ8XC9X,2017-01-25,822.44,823.94,814.56,822.0,2865611.0
AMZN R735QTJ8XC9X,2017-01-26,836.52,837.41,825.29,825.79,3806350.0
AMZN R735QTJ8XC9X,2017-01-27,839.15,843.88,833.0,835.84,3505449.0
AMZN R735QTJ8XC9X,2017-01-28,835.77,839.59,829.44,839.0,2953985.0
AMZN R735QTJ8XC9X,2017-01-31,830.38,834.0,816.47,833.34,3612018.0
AMZN R735QTJ8XC9X,2017-02-01,823.48,826.99,819.56,823.75,3050487.0
AMZN R735QTJ8XC9X,2017-02-02,832.35,833.77,824.94,829.21,3704759.0
AMZN R735QTJ8XC9X,2017-02-03,839.95,842.49,828.41,836.59,5543456.0
AMZN R735QTJ8XC9X,2017-02-04,810.2,818.12,804.0,806.92,10353254.0
AMZN R735QTJ8XC9X,2017-02-07,807.64,810.72,803.0,809.8,3651265.0
AMZN R735QTJ8XC9X,2017-02-08,812.5,816.19,807.5,809.78,3403658.0
AMZN R735QTJ8XC9X,2017-02-09,819.71,821.48,812.5,812.69,2799941.0
AMZN R735QTJ8XC9X,2017-02-10,821.36,825.0,819.71,821.6,2411565.0
AMZN R735QTJ8XC9X,2017-02-11,827.46,827.99,822.85,823.82,2331732.0
AMZN R735QTJ8XC9X,2017-02-14,836.53,842.97,828.51,831.62,4060452.0
AMZN R735QTJ8XC9X,2017-02-15,836.39,838.31,831.5,837.0,2545848.0
AMZN R735QTJ8XC9X,2017-02-16,842.7,842.81,832.9,834.0,2873065.0
AMZN R735QTJ8XC9X,2017-02-17,844.14,845.0,839.41,841.92,2679129.0
AMZN R735QTJ8XC9X,2017-02-18,845.07,847.27,840.7,842.01,2876689.0
AMZN R735QTJ8XC9X,2017-02-22,856.44,857.93,847.25,847.41,3308172.0
AMZN R735QTJ8XC9X,2017-02-23,855.61,858.43,852.2,856.95,2542735.0
AMZN R735QTJ8XC9X,2017-02-24,852.19,860.83,847.99,857.57,3346221.0
AMZN R735QTJ8XC9X,2017-02-25,845.24,845.81,837.78,845.0,3600157.0
AMZN R735QTJ8XC9X,2017-02-28,848.64,852.62,839.67,842.38,2608578.0
AMZN R735QTJ8XC9X,2017-03-01,845.04,854.09,842.06,851.45,2728799.0
AMZN R735QTJ8XC9X,2017-03-02,853.08,854.83,849.01,853.05,2661799.0
AMZN R735QTJ8XC9X,2017-03-03,848.91,854.82,847.25,853.08,2086393.0
AMZN R735QTJ8XC9X,2017-03-04,849.88,851.96,846.44,847.2,1914369.0
AMZN R735QTJ8XC9X,2017-03-07,846.61,848.49,841.12,845.23,2507978.0
AMZN R735QTJ8XC9X,2017-03-08,846.02,848.49,843.75,845.48,2135570.0
AMZN R735QTJ8XC9X,2017-03-09,850.5,853.01,846.79,848.0,2252138.0
AMZN R735QTJ8XC9X,2017-03-10,853.0,856.4,850.33,851.0,2004583.0
AMZN R735QTJ8XC9X,2017-03-11,852.46,857.35,851.72,857.0,2374075.0
AMZN R735QTJ8XC9X,2017-03-14,854.59,855.67,851.68,852.0,1798752.0
AMZN R735QTJ8XC9X,2017-03-15,852.53,853.8,847.5,853.55,2020897.0
AMZN R735QTJ8XC9X,2017-03-16,852.97,854.45,847.01,854.33,2514778.0
AMZN R735QTJ8XC9X,2017-03-17,853.42,855.5,850.51,855.3,1783732.0
AMZN R735QTJ8XC9X,2017-03-18,852.31,853.86,850.64,853.42,2931349.0
AMZN R735QTJ8XC9X,2017-03-21,856.97,857.8,851.1,851.51,2198291.0
AMZN R735QTJ8XC9X,2017-03-22,843.2,862.88,841.22,858.84,4283443.0
AMZN R735QTJ8XC9X,2017-03-23,848.06,849.37,839.15,840.43,2592044.0
AMZN R735QTJ8XC9X,2017-03-24,847.38,850.89,844.8,848.2,1790324.0
AMZN R735QTJ8XC9X,2017-03-25,845.61,851.83,843.51,851.68,2075925.0
AMZN R735QTJ8XC9X,2017-03-28,846.82,850.55,833.66,838.07,2729824.0
AMZN R735QTJ8XC9X,2017-03-29,856.0,858.47,850.0,851.75,2836615.0
AMZN R735QTJ8XC9X,2017-03-30,874.32,876.43,859.21,860.0,4200105.0
AMZN R735QTJ8XC9X,2017-03-31,876.34,877.05,871.66,874.95,2699194.0
AMZN R735QTJ8XC9X,2017-04-01,886.54,890.35,876.65,877.0,3824539.0
AMZN R735QTJ8XC9X,2017-04-04,891.51,893.5,885.53,888.44,3341315.0
AMZN R735QTJ8XC9X,2017-04-05,906.83,908.54,890.32,891.5,4918891.0
AMZN R735QTJ8XC9X,2017-04-06,909.28,923.74,905.78,910.69,7354259.0
AMZN R735QTJ8XC9X,2017-04-07,898.28,917.17,894.5,913.8,6105943.0
AMZN R735QTJ8XC9X,2017-04-08,894.88,900.09,889.3,899.65,3646531.0
AMZN R735QTJ8XC9X,2017-04-11,907.04,908.54,899.0,899.63,3029449.0
AMZN R735QTJ8XC9X,2017-04-12,902.36,911.22,897.31,907.04,2932751.0
AMZN R735QTJ8XC9X,2017-04-13,896.23,904.15,895.3,903.09,2399584.0
AMZN R735QTJ8XC9X,2017-04-14,884.67,894.95,884.49,892.99,3084567.0
AMZN R735QTJ8XC9X,2017-04-18,901.99,902.38,887.26,887.5,2680332.0
AMZN R735QTJ8XC9X,2017-04-19,903.78,909.61,900.78,900.99,2949668.0
AMZN R735QTJ8XC9X,2017-04-20,899.2,910.5,897.34,907.84,2709419.0
AMZN R735QTJ8XC9X,2017-04-21,902.06,905.27,896.3,899.64,2695228.0
AMZN R735QTJ8XC9X,2017-04-22,898.53,903.71,896.76,902.67,2357791.0
AMZN R735QTJ8XC9X,2017-04-25,907.41,909.99,903.82,908.68,2984405.0
AMZN R735QTJ8XC9X,2017-04-26,907.62,909.49,903.01,907.04,3213744.0
AMZN R735QTJ8XC9X,2017-04-27,909.29,915.67,907.55,910.52,2518702.0
AMZN R735QTJ8XC9X,2017-04-28,918.38,921.86,912.11,914.39,4215707.0
AMZN R735QTJ8XC9X,2017-04-29,924.99,949.59,924.37,949.45,7008832.0
AMZN R735QTJ8XC9X,2017-05-02,948.23,954.42,929.12,930.5,5301378.0
AMZN R735QTJ8XC9X,2017-05-03,946.94,950.1,941.5,946.59,3742965.0
AMZN R735QTJ8XC9X,2017-05-04,941.03,946.0,935.86,945.45,3511040.0
AMZN R735QTJ8XC9X,2017-05-05,937.53,945.65,934.25,944.8,2384266.0
AMZN R735QTJ8XC9X,2017-05-06,934.15,941.7,930.38,940.45,2813789.0
AMZN R735QTJ8XC9X,2017-05-09,949.04,949.05,939.25,940.95,3278895.0
AMZN R735QTJ8XC9X,2017-05-10,952.82,957.9,950.2,952.8,2927298.0
AMZN R735QTJ8XC9X,2017-05-11,948.95,953.75,945.0,953.5,2021079.0
AMZN R735QTJ8XC9X,2017-05-12,947.62,950.29,940.75,945.64,2063278.0
AMZN R735QTJ8XC9X,2017-05-13,961.35,962.79,951.75,954.62,3533974.0
AMZN R735QTJ8XC9X,2017-05-16,957.97,963.18,956.06,958.68,4131481.0
AMZN R735QTJ8XC9X,2017-05-17,966.07,970.11,960.0,961.0,2969791.0
AMZN R735QTJ8XC9X,2017-05-18,944.76,960.48,944.24,954.18,4916267.0
AMZN R735QTJ8XC9X,2017-05-19,958.49,962.75,943.87,944.81,3767189.0
AMZN R735QTJ8XC9X,2017-05-20,959.84,968.92,959.72,962.93,3797969.0
AMZN R735QTJ8XC9X,2017-05-23,970.67,971.38,962.0,963.89,2538329.0
AMZN R735QTJ8XC9X,2017-05-24,971.54,975.2,966.82,975.0,2321016.0
AMZN R735QTJ8XC9X,2017-05-25,980.35,981.02,970.32,975.55,2365526.0
AMZN R735QTJ8XC9X,2017-05-26,993.38,999.0,982.11,984.84,4649255.0
AMZN R735QTJ8XC9X,2017-05-27,995.78,998.65,989.3,995.0,3345522.0
AMZN R735QTJ8XC9X,2017-05-31,996.7,1001.2,995.5,996.63,3110334.0
AMZN R735QTJ8XC9X,2017-06-01,994.62,1000.39,982.52,1000.0,3840567.0
AMZN R735QTJ8XC9X,2017-06-02,995.95,998.99,991.41,998.59,2332935.0
AMZN R735QTJ8XC9X,2017-06-03,1006.73,1008.48,995.67,999.0,3673526.0
AMZN R735QTJ8XC9X,2017-06-06,1011.34,1013.22,1003.51,1007.23,2581913.0
AMZN R735QTJ8XC9X,2017-06-07,1003.0,1016.5,1001.25,1012.0,3240096.0
AMZN R735QTJ8XC9X,2017-06-08,1010.07,1010.24,1002.0,1005.95,2735077.0
AMZN R735QTJ8XC9X,2017-06-09,1010.27,1013.5,1006.3,1012.06,2673155.0
AMZN R735QTJ8XC9X,2017-06-10,978.31,1012.99,927.0,1012.5,7503266.0
AMZN R735QTJ8XC9X,2017-06-13,964.91,975.95,945.0,966.7,9111955.0
AMZN R735QTJ8XC9X,2017-06-14,980.79,984.43,966.1,977.99,4424923.0
AMZN R735QTJ8XC9X,2017-06-15,976.47,990.34,966.88,988.59,3852216.0
AMZN R735QTJ8XC9X,2017-06-16,964.17,965.71,950.86,961.0,5115758.0
AMZN R735QTJ8XC9X,2017-06-17,987.71,999.75,982.11,995.09,10485520.0
AMZN R735QTJ8XC9X,2017-06-20,995.17,1017.45,989.87,999.7,4759630.0
AMZN R735QTJ8XC9X,2017-06-21,992.59,1004.88,992.08,998.2,3954038.0
AMZN R735QTJ8XC9X,2017-06-22,1002.23,1002.72,992.67,998.28,2875057.0
AMZN R735QTJ8XC9X,2017-06-23,1001.3,1006.92,997.2,1002.23,2192103.0
AMZN R735QTJ8XC9X,2017-06-24,1003.74,1004.62,998.03,1002.54,2635522.0
AMZN R735QTJ8XC9X,2017-06-27,993.98,1009.8,992.0,1009.14,3289614.0
AMZN R735QTJ8XC9X,2017-06-28,976.78,998.8,975.95,990.69,3693988.0
AMZN R735QTJ8XC9X,2017-06-29,990.33,990.68,969.21,979.0,3577987.0
AMZN R735QTJ8XC9X,2017-06-30,975.93,987.65,965.25,983.25,4184444.0
AMZN R735QTJ8XC9X,2017-07-01,968.0,983.5,967.61,980.12,3237016.0
AMZN R735QTJ8XC9X,2017-07-04,953.66,974.49,951.0,972.79,2812609.0
AMZN R735QTJ8XC9X,2017-07-06,971.4,975.0,955.25,961.06,3520713.0
AMZN R735QTJ8XC9X,2017-07-07,965.14,974.44,959.0,964.66,3180930.0
AMZN R735QTJ8XC9X,2017-07-08,978.76,980.15,968.92,969.55,2524959.0
AMZN R735QTJ8XC9X,2017-07-11,996.47,999.45,983.5,985.0,3333912.0
AMZN R735QTJ8XC9X,2017-07-12,994.13,995.99,983.6,993.0,2887600.0
AMZN R735QTJ8XC9X,2017-07-13,1006.51,1008.57,998.1,1001.0,3433081.0
AMZN R735QTJ8XC9X,2017-07-14,1000.63,1006.88,995.77,1004.62,2757479.0
AMZN R735QTJ8XC9X,2017-07-15,1001.81,1004.47,996.74,1002.4,1993109.0
AMZN R735QTJ8XC9X,2017-07-18,1010.04,1014.75,1003.81,1004.69,3344735.0
AMZN R735QTJ8XC9X,2017-07-19,1024.45,1026.06,1004.0,1006.03,3886606.0
AMZN R735QTJ8XC9X,2017-07-20,1026.87,1031.64,1022.47,1025.0,2891584.0
AMZN R735QTJ8XC9X,2017-07-21,1028.7,1035.0,1022.5,1031.59,2881936.0
AMZN R735QTJ8XC9X,2017-07-22,1025.67,1026.1,1011.0,1020.9,2564683.0
AMZN R735QTJ8XC9X,2017-07-25,1038.95,1043.13,1027.36,1028.34,3130790.0
AMZN R735QTJ8XC9X,2017-07-26,1039.87,1043.3,1032.48,1038.05,2368587.0
AMZN R735QTJ8XC9X,2017-07-27,1052.8,1053.2,1043.21,1044.85,2792187.0
AMZN R735QTJ8XC9X,2017-07-28,1046.0,1083.24,1040.2,1070.0,9732328.0
AMZN R735QTJ8XC9X,2017-07-29,1020.04,1032.84,1000.88,1012.0,7405929.0
AMZN R735QTJ8XC9X,2017-08-01,987.78,1019.18,987.01,1019.04,7176535.0
AMZN R735QTJ8XC9X,2017-08-02,996.19,1006.41,991.74,996.68,4338155.0
AMZN R735QTJ8XC9X,2017-08-03,995.89,1003.19,981.86,1002.27,3961404.0
AMZN R735QTJ8XC9X,2017-08-04,986.92,999.65,984.65,999.47,3168847.0
AMZN R735QTJ8XC9X,2017-08-05,987.58,991.67,982.02,989.68,2679972.0
AMZN R735QTJ8XC9X,2017-08-08,992.27,995.0,987.4,990.86,2551059.0
AMZN R735QTJ8XC9X,2017-08-09,989.84,996.35,985.7,994.35,2822546.0
AMZN R735QTJ8XC9X,2017-08-10,982.01,988.17,975.29,982.94,3304643.0
AMZN R735QTJ8XC9X,2017-08-11,956.92,979.86,954.68,975.55,5517477.0
AMZN R735QTJ8XC9X,2017-08-12,967.99,970.43,951.58,960.0,3358670.0
AMZN R735QTJ8XC9X,2017-08-15,983.3,985.5,976.2,978.97,2951869.0
AMZN R735QTJ8XC9X,2017-08-16,982.74,991.74,982.0,988.9,2478036.0
AMZN R735QTJ8XC9X,2017-08-17,978.18,986.5,973.22,981.65,3008417.0
AMZN R735QTJ8XC9X,2017-08-18,960.57,977.95,960.25,977.84,3375311.0
AMZN R735QTJ8XC9X,2017-08-19,958.47,965.43,954.63,961.4,3158384.0
