symbol,time,close,high,low,open,volume
BABA VU1EHIDJYJXH,2014-09-20,93.89,99.68,89.95,92.7,270896204.0
BABA VU1EHIDJYJXH,2014-09-23,89.91,92.95,89.51,92.95,61589407.0
BABA VU1EHIDJYJXH,2014-09-24,87.17,90.48,86.62,88.88,37304361.0
BABA VU1EHIDJYJXH,2014-09-25,90.57,90.57,87.22,88.49,29793826.0
BABA VU1EHIDJYJXH,2014-09-26,88.92,91.5,88.5,91.0,26632001.0
BABA VU1EHIDJYJXH,2014-09-27,90.46,90.46,88.66,89.59,18031997.0
BABA VU1EHIDJYJXH,2014-09-30,88.75,89.7,88.02,89.6,21868332.0
BABA VU1EHIDJYJXH,2014-10-01,88.63,90.88,88.46,89.0,23603961.0
BABA VU1EHIDJYJXH,2014-10-02,86.1,88.94,86.05,88.89,23375072.0
BABA VU1EHIDJYJXH,2014-10-03,86.9,88.2,85.62,86.3,20613042.0
BABA VU1EHIDJYJXH,2014-10-04,88.1,89.94,87.66,88.09,18012162.0
BABA VU1EHIDJYJXH,2014-10-07,88.31,89.65,88.07,89.2,9065118.0
BABA VU1EHIDJYJXH,2014-10-08,87.67,89.7,87.07,88.0,12613493.0
BABA VU1EHIDJYJXH,2014-10-09,88.3,88.5,87.06,88.0,10150366.0
BABA VU1EHIDJYJXH,2014-10-10,88.79,90.35,88.0,88.48,21322750.0
BABA VU1EHIDJYJXH,2014-10-11,85.88,88.72,85.25,88.25,14736294.0
BABA VU1EHIDJYJXH,2014-10-14,85.12,86.89,84.92,86.89,14136438.0
BABA VU1EHIDJYJXH,2014-10-15,84.95,85.82,83.24,85.7,15278365.0
BABA VU1EHIDJYJXH,2014-10-16,85.6,86.48,82.82,84.0,16548963.0
BABA VU1EHIDJYJXH,2014-10-17,88.73,89.17,84.02,85.2,12076172.0
BABA VU1EHIDJYJXH,2014-10-18,87.91,90.9,87.68,90.32,16553225.0
BABA VU1EHIDJYJXH,2014-10-21,88.26,89.5,87.86,88.0,9677347.0
BABA VU1EHIDJYJXH,2014-10-22,90.9,92.5,88.51,89.2,22774254.0
BABA VU1EHIDJYJXH,2014-10-23,91.63,93.5,91.01,92.3,19822976.0
BABA VU1EHIDJYJXH,2014-10-24,94.45,94.7,92.85,93.46,20089747.0
BABA VU1EHIDJYJXH,2014-10-25,95.76,98.0,94.79,95.03,30949227.0
BABA VU1EHIDJYJXH,2014-10-28,97.79,98.85,96.32,97.0,27405735.0
BABA VU1EHIDJYJXH,2014-10-29,99.74,100.67,98.61,99.75,29906276.0
BABA VU1EHIDJYJXH,2014-10-30,98.31,100.0,96.82,99.95,27538669.0
BABA VU1EHIDJYJXH,2014-10-31,98.73,99.44,97.33,98.47,15105410.0
BABA VU1EHIDJYJXH,2014-11-01,98.6,100.21,98.14,100.1,17468911.0
BABA VU1EHIDJYJXH,2014-11-04,102.0,102.8,99.05,99.71,38666164.0
BABA VU1EHIDJYJXH,2014-11-05,106.19,106.35,99.51,100.91,58901850.0
BABA VU1EHIDJYJXH,2014-11-06,108.7,110.14,106.5,108.64,45586491.0
BABA VU1EHIDJYJXH,2014-11-07,111.59,111.69,107.21,109.35,31342759.0
BABA VU1EHIDJYJXH,2014-11-08,114.39,114.77,111.76,113.03,49234148.0
BABA VU1EHIDJYJXH,2014-11-11,119.15,119.45,115.2,117.18,71339498.0
BABA VU1EHIDJYJXH,2014-11-12,114.54,117.55,113.7,117.5,67368246.0
BABA VU1EHIDJYJXH,2014-11-13,118.25,119.07,114.03,115.08,51823795.0
BABA VU1EHIDJYJXH,2014-11-14,114.87,120.0,114.55,119.39,60120034.0
BABA VU1EHIDJYJXH,2014-11-15,115.05,115.39,113.35,115.0,28559549.0
BABA VU1EHIDJYJXH,2014-11-18,114.25,115.62,113.15,115.3,21820730.0
BABA VU1EHIDJYJXH,2014-11-19,110.81,114.38,110.41,114.25,40435445.0
BABA VU1EHIDJYJXH,2014-11-20,108.56,110.68,107.22,109.83,45313634.0
BABA VU1EHIDJYJXH,2014-11-21,109.82,112.44,107.26,107.84,35891840.0
BABA VU1EHIDJYJXH,2014-11-22,110.73,113.5,110.46,113.18,26118499.0
BABA VU1EHIDJYJXH,2014-11-25,113.9,113.93,111.56,112.05,19711334.0
BABA VU1EHIDJYJXH,2014-11-26,113.18,115.17,112.33,115.0,22292223.0
BABA VU1EHIDJYJXH,2014-11-27,112.67,113.74,112.33,113.27,11411194.0
BABA VU1EHIDJYJXH,2014-11-29,111.64,113.23,111.12,113.23,7806226.0
BABA VU1EHIDJYJXH,2014-12-02,105.99,110.04,103.9,110.0,37876846.0
BABA VU1EHIDJYJXH,2014-12-03,109.89,110.0,106.65,107.4,18253868.0
BABA VU1EHIDJYJXH,2014-12-04,110.64,111.68,108.8,110.39,15697512.0
BABA VU1EHIDJYJXH,2014-12-05,109.17,110.5,108.92,110.0,10480340.0
BABA VU1EHIDJYJXH,2014-12-06,107.89,110.35,107.76,109.6,11867295.0
BABA VU1EHIDJYJXH,2014-12-09,105.07,107.39,104.22,106.0,18740443.0
BABA VU1EHIDJYJXH,2014-12-10,107.48,107.94,101.2,102.38,23757192.0
BABA VU1EHIDJYJXH,2014-12-11,103.88,107.38,103.51,107.0,17776296.0
BABA VU1EHIDJYJXH,2014-12-12,105.01,106.84,104.31,104.31,15589246.0
BABA VU1EHIDJYJXH,2014-12-13,105.11,107.45,104.18,104.75,14211037.0
BABA VU1EHIDJYJXH,2014-12-16,104.7,107.77,103.7,106.3,16342844.0
BABA VU1EHIDJYJXH,2014-12-17,105.83,107.67,103.7,103.95,20834630.0
BABA VU1EHIDJYJXH,2014-12-18,109.02,109.19,106.28,107.12,17090703.0
BABA VU1EHIDJYJXH,2014-12-19,109.25,111.2,108.26,110.58,22237411.0
BABA VU1EHIDJYJXH,2014-12-20,110.65,110.65,108.05,110.0,14279878.0
BABA VU1EHIDJYJXH,2014-12-23,108.77,110.98,108.53,110.65,12808385.0
BABA VU1EHIDJYJXH,2014-12-24,105.52,108.44,103.88,108.3,18750568.0
