symbol,time,close,high,low,open,volume
BLK ROIDIDJRNXID,2017-01-04,346.332670695,347.50674051,342.86423544,344.65670844,817520.0
BLK ROIDIDJRNXID,2017-01-05,346.53880509,346.71805239,343.410939705,344.737369725,741583.0
BLK ROIDIDJRNXID,2017-01-06,342.84631071,346.57465455,340.668456015,344.862842835,522064.0
BLK ROIDIDJRNXID,2017-01-07,344.42368695,345.472283655,341.851488195,343.446789165,501929.0
BLK ROIDIDJRNXID,2017-01-10,340.94628933,345.436434195,340.64156892,344.468498775,563742.0
BLK ROIDIDJRNXID,2017-01-11,340.847703315,342.50574084,339.270327075,342.16517097,505196.0
BLK ROIDIDJRNXID,2017-01-12,341.421294675,342.729799965,337.97078415,340.274111955,1051037.0
BLK ROIDIDJRNXID,2017-01-13,339.037305585,340.453359255,333.588187665,339.843918435,864832.0
BLK ROIDIDJRNXID,2017-01-14,339.987316275,346.64635347,336.940112175,339.539198025,688972.0
BLK ROIDIDJRNXID,2017-01-18,335.9094402,337.97078415,334.60093491,337.101434745,722293.0
BLK ROIDIDJRNXID,2017-01-19,338.777397,338.81324646,334.860843495,336.85945089,567036.0
BLK ROIDIDJRNXID,2017-01-20,338.194843275,340.256187225,337.137284205,339.11796687,508880.0
BLK ROIDIDJRNXID,2017-01-21,341.8246011,342.030735495,339.521273295,339.92457972,680540.0
BLK ROIDIDJRNXID,2017-01-24,338.83117119,341.618466705,337.011811095,340.363735605,561566.0
BLK ROIDIDJRNXID,2017-01-25,341.80667637,343.536412815,339.288251805,340.65949365,686347.0
BLK ROIDIDJRNXID,2017-01-26,348.035520045,348.47467593,344.056229985,344.880767565,656911.0
BLK ROIDIDJRNXID,2017-01-27,340.05005283,347.99070822,339.144853965,345.947289,932372.0
BLK ROIDIDJRNXID,2017-01-28,336.14246169,341.797714005,334.215553215,340.56987,756711.0
BLK ROIDIDJRNXID,2017-01-31,336.25001007,336.563692845,332.23487055,334.54716072,661458.0
BLK ROIDIDJRNXID,2017-02-01,335.17452627,336.2679348,333.677811315,335.810854185,771136.0
BLK ROIDIDJRNXID,2017-02-02,334.2962145,338.875983015,332.512703865,336.276897165,676797.0
BLK ROIDIDJRNXID,2017-02-03,333.07733286,333.803284425,327.870198795,328.9187955,899796.0
BLK ROIDIDJRNXID,2017-02-04,338.777397,339.33306363,333.399978,333.399978,1062146.0
BLK ROIDIDJRNXID,2017-02-07,338.25757983,339.485423835,335.685381075,335.685381075,613015.0
BLK ROIDIDJRNXID,2017-02-08,337.782574485,339.29721417,337.45096698,338.445789495,600002.0
BLK ROIDIDJRNXID,2017-02-09,335.69434344,337.119359475,335.192451,336.16038642,483897.0
BLK ROIDIDJRNXID,2017-02-10,339.288251805,340.489208715,336.707090685,337.41511752,550730.0
BLK ROIDIDJRNXID,2017-02-11,343.159993485,344.10104181,340.453359255,340.740154935,645890.0
BLK ROIDIDJRNXID,2017-02-14,345.794928795,347.09447172,343.679810655,344.916617025,496993.0
BLK ROIDIDJRNXID,2017-02-15,345.03312777,346.404369615,343.643961195,345.7680417,861759.0
BLK ROIDIDJRNXID,2017-02-16,352.25679396,352.857272415,345.310961085,345.310961085,712572.0
BLK ROIDIDJRNXID,2017-02-17,351.297820905,352.84831005,349.469498445,351.889336995,561964.0
BLK ROIDIDJRNXID,2017-02-18,348.42090174,349.666670475,347.874197475,349.31713824,673175.0
BLK ROIDIDJRNXID,2017-02-22,349.62185865,352.068584295,348.8152458,350.4284715,476576.0
BLK ROIDIDJRNXID,2017-02-23,350.168562915,350.37469731,347.551552335,348.67184796,471180.0
BLK ROIDIDJRNXID,2017-02-24,350.078939265,350.849702655,347.999670585,350.849702655,431778.0
BLK ROIDIDJRNXID,2017-02-25,348.77939634,348.77939634,345.866627715,347.766649095,528873.0
BLK ROIDIDJRNXID,2017-02-28,350.4284715,350.69734245,348.196842615,349.128928575,411265.0
BLK ROIDIDJRNXID,2017-03-01,347.25579429,350.50017042,346.80767604,348.67184796,872287.0
BLK ROIDIDJRNXID,2017-03-02,356.531842065,357.74176134,352.032734835,353.072369175,867269.0
BLK ROIDIDJRNXID,2017-03-03,353.23085826,356.594961672,353.068515468,356.38752366,526691.0
BLK ROIDIDJRNXID,2017-03-04,351.896039748,354.385295892,351.33685902,353.573581932,377735.0
BLK ROIDIDJRNXID,2017-03-07,349.659316836,350.75062116,347.918641344,349.9389072,370230.0
BLK ROIDIDJRNXID,2017-03-08,347.54886054,349.62324066,346.51167048,349.091117064,399639.0
BLK ROIDIDJRNXID,2017-03-09,346.82733702,350.858849688,346.69205136,349.920869112,453928.0
BLK ROIDIDJRNXID,2017-03-10,346.574803788,349.000926624,344.942356824,347.521803408,428452.0
BLK ROIDIDJRNXID,2017-03-11,346.854394152,349.929888156,346.304232468,349.334631252,535935.0
BLK ROIDIDJRNXID,2017-03-14,347.133984516,348.017850828,345.56467086,347.792374728,442829.0
BLK ROIDIDJRNXID,2017-03-15,345.690937476,348.216269796,343.950261984,345.600747036,391313.0
BLK ROIDIDJRNXID,2017-03-16,350.137326168,350.79571638,346.457556216,347.512784364,480125.0
BLK ROIDIDJRNXID,2017-03-17,351.742716,353.654753328,349.388745516,350.940021084,584572.0
BLK ROIDIDJRNXID,2017-03-18,345.29409954,352.852058412,345.11371866,352.6446204,745301.0
BLK ROIDIDJRNXID,2017-03-21,343.12952898,344.924318736,341.8217676,344.635709328,482021.0
BLK ROIDIDJRNXID,2017-03-22,338.358454704,345.4293852,337.393416996,345.4293852,662246.0
BLK ROIDIDJRNXID,2017-03-23,338.638045068,339.305454324,335.5084368,336.933445752,363929.0
BLK ROIDIDJRNXID,2017-03-24,338.57491176,342.110377008,337.7631978,337.7631978,460092.0
BLK ROIDIDJRNXID,2017-03-25,337.682026404,340.757520408,335.860179516,339.936787404,348141.0
BLK ROIDIDJRNXID,2017-03-28,338.21415,338.250226176,331.9008192,333.037218744,662021.0
BLK ROIDIDJRNXID,2017-03-29,343.291871772,344.356118964,336.960502884,337.122845676,656774.0
BLK ROIDIDJRNXID,2017-03-30,342.191548404,343.463233608,340.550082396,341.388853488,503284.0
BLK ROIDIDJRNXID,2017-03-31,345.465461376,346.448537172,341.01005364,341.01005364,533443.0
BLK ROIDIDJRNXID,2017-04-01,345.889356444,348.351555456,344.238871392,345.050585352,472342.0
BLK ROIDIDJRNXID,2017-04-04,344.608652196,347.41357488,341.271605916,346.177965852,564968.0
BLK ROIDIDJRNXID,2017-04-05,343.44519552,344.419252272,341.884900908,343.544405004,443535.0
BLK ROIDIDJRNXID,2017-04-06,343.544405004,348.802507656,343.066395672,345.862299312,518171.0
BLK ROIDIDJRNXID,2017-04-07,346.42148004,347.630031936,342.940129056,343.8510525,355981.0
BLK ROIDIDJRNXID,2017-04-08,348.153136488,350.912963952,344.274947568,344.274947568,610584.0
BLK ROIDIDJRNXID,2017-04-11,348.035888916,350.867868732,346.710089448,348.207250752,432714.0
BLK ROIDIDJRNXID,2017-04-12,346.37638482,346.800279888,342.31781502,345.555651816,490021.0
BLK ROIDIDJRNXID,2017-04-13,344.022414336,347.016736944,343.066395672,345.366251892,407402.0
BLK ROIDIDJRNXID,2017-04-14,341.8217676,346.818317976,341.451986796,341.695500984,393021.0
BLK ROIDIDJRNXID,2017-04-18,346.15090872,346.367365776,342.54329112,343.787919192,473103.0
BLK ROIDIDJRNXID,2017-04-19,345.979546884,346.502651436,342.326834064,344.157699996,549384.0
BLK ROIDIDJRNXID,2017-04-20,340.10814924,347.99981274,338.71019742,347.557879584,758018.0
BLK ROIDIDJRNXID,2017-04-21,344.157699996,345.285080496,338.818425948,341.23552974,795493.0
BLK ROIDIDJRNXID,2017-04-22,340.973977464,343.914185808,339.83757792,342.723672,505159.0
BLK ROIDIDJRNXID,2017-04-25,348.72133626,350.912963952,346.439518128,347.359460616,647266.0
BLK ROIDIDJRNXID,2017-04-26,350.110269036,350.696506896,347.621012892,350.696506896,599722.0
BLK ROIDIDJRNXID,2017-04-27,350.723564028,353.45633436,349.12719324,350.34476418,515831.0
BLK ROIDIDJRNXID,2017-04-28,352.383068124,352.680696576,347.693165244,350.732583072,402856.0
BLK ROIDIDJRNXID,2017-04-29,346.845375108,352.752848928,346.619899008,351.742716,644486.0
BLK ROIDIDJRNXID,2017-05-02,345.4293852,349.21738368,345.4293852,349.21738368,649466.0
BLK ROIDIDJRNXID,2017-05-03,346.7822418,347.088889296,344.879223516,345.907394532,421124.0
BLK ROIDIDJRNXID,2017-05-04,346.592841876,347.72924142,345.483499464,346.394422908,415071.0
BLK ROIDIDJRNXID,2017-05-05,345.708975564,348.49586016,344.013395292,348.49586016,491253.0
BLK ROIDIDJRNXID,2017-05-06,346.114832544,346.159927764,344.130642864,345.221947188,594308.0
BLK ROIDIDJRNXID,2017-05-09,344.870204472,347.197117824,343.49029074,346.908508416,373368.0
BLK ROIDIDJRNXID,2017-05-10,343.1746242,346.205022984,342.40800546,344.816090208,524152.0
BLK ROIDIDJRNXID,2017-05-11,344.770994988,344.88824256,340.856729892,343.246776552,448729.0
BLK ROIDIDJRNXID,2017-05-12,345.312137628,345.74505174,341.451986796,343.08443376,503763.0
BLK ROIDIDJRNXID,2017-05-13,347.341422528,347.41357488,343.796938236,344.148680952,507925.0
BLK ROIDIDJRNXID,2017-05-16,351.165497184,353.00538216,347.557879584,348.342536412,620073.0
BLK ROIDIDJRNXID,2017-05-17,352.91519172,353.799058032,349.866754848,351.526258944,657187.0
BLK ROIDIDJRNXID,2017-05-18,346.033661148,350.498087928,344.283966612,348.595069644,950926.0
BLK ROIDIDJRNXID,2017-05-19,350.371821312,354.295105452,344.383176096,345.095680572,1120327.0
BLK ROIDIDJRNXID,2017-05-20,354.737038608,356.180085648,350.43495462,351.030211524,756411.0
BLK ROIDIDJRNXID,2017-05-23,357.406675632,359.8598556,355.900495284,356.874552036,736116.0
BLK ROIDIDJRNXID,2017-05-24,357.127085268,359.13833208,356.414580792,357.460789896,805204.0
BLK ROIDIDJRNXID,2017-05-25,357.433732764,358.019970624,354.4484292,357.749399304,548237.0
BLK ROIDIDJRNXID,2017-05-26,366.461795808,367.913861892,358.669341792,360.382960152,958983.0
BLK ROIDIDJRNXID,2017-05-27,367.093128888,367.7515191,363.575701728,364.585834656,817635.0
BLK ROIDIDJRNXID,2017-05-31,366.912748008,368.47304262,365.036786856,365.126977296,825388.0
BLK ROIDIDJRNXID,2017-06-01,369.203585184,369.365927976,366.281414928,367.9769952,843612.0
BLK ROIDIDJRNXID,2017-06-02,375.120151494,375.764438367,370.047526677,370.492175364,1455869.0
BLK ROIDIDJRNXID,2017-06-03,376.327055073,377.987681802,372.524855076,373.68638634,958220.0
BLK ROIDIDJRNXID,2017-06-06,375.882406386,378.913277028,375.601098033,376.345203999,468007.0
BLK ROIDIDJRNXID,2017-06-07,375.528502329,377.924160561,373.223588727,373.241737653,736026.0
BLK ROIDIDJRNXID,2017-06-08,375.50127894,377.016714261,375.038481327,377.016714261,643854.0
BLK ROIDIDJRNXID,2017-06-09,376.798927149,378.976798269,375.328864143,375.59202357,753044.0
BLK ROIDIDJRNXID,2017-06-10,379.76627655,380.238148626,376.998565335,378.014905191,748505.0
BLK ROIDIDJRNXID,2017-06-13,379.593861753,381.127446,377.270799225,379.085691825,859946.0
BLK ROIDIDJRNXID,2017-06-14,380.501308053,382.261753875,378.278064618,380.501308053,411937.0
BLK ROIDIDJRNXID,2017-06-15,382.479540987,382.552136691,378.323436933,379.194585381,570694.0
BLK ROIDIDJRNXID,2017-06-16,383.278093731,383.468657454,378.450479415,380.03851044,524530.0
BLK ROIDIDJRNXID,2017-06-17,381.699137169,384.276284661,380.973180129,384.049423086,720803.0
BLK ROIDIDJRNXID,2017-06-20,388.731845994,388.777218309,382.906040748,384.067572012,631409.0
BLK ROIDIDJRNXID,2017-06-21,385.383369147,388.078484658,385.356145758,386.826208764,526754.0
BLK ROIDIDJRNXID,2017-06-22,381.798956262,386.408783466,381.435977742,386.236368669,632151.0
BLK ROIDIDJRNXID,2017-06-23,384.004050771,385.401518073,380.628350535,381.390605427,396517.0
BLK ROIDIDJRNXID,2017-06-24,382.597509006,386.690091819,381.363382038,385.074837405,894594.0
BLK ROIDIDJRNXID,2017-06-27,385.383369147,386.690091819,383.178274638,384.385178217,429386.0
BLK ROIDIDJRNXID,2017-06-28,383.141976786,386.998623561,382.778998266,386.454155781,429554.0
BLK ROIDIDJRNXID,2017-06-29,387.343453155,387.615687045,383.541253158,386.862506616,431319.0
BLK ROIDIDJRNXID,2017-06-30,384.004050771,390.964163892,382.089339078,390.11116437,760164.0
BLK ROIDIDJRNXID,2017-07-01,383.314391583,387.316229766,383.314391583,387.161963895,546311.0
BLK ROIDIDJRNXID,2017-07-04,388.958707569,390.946014966,386.163772965,386.499528096,300709.0
BLK ROIDIDJRNXID,2017-07-06,389.085750051,390.038568666,386.907878931,389.131122366,492315.0
BLK ROIDIDJRNXID,2017-07-07,385.837092297,388.84073955,385.610230722,387.470495637,370438.0
BLK ROIDIDJRNXID,2017-07-08,392.361631194,392.842577733,386.526751485,387.978665565,424756.0
BLK ROIDIDJRNXID,2017-07-11,395.864373912,398.232808755,391.345291338,391.345291338,564039.0
BLK ROIDIDJRNXID,2017-07-12,391.935131433,396.46328847,390.247281315,396.318097062,559115.0
BLK ROIDIDJRNXID,2017-07-13,395.002299927,395.991416394,392.370705657,393.37797105,516302.0
