symbol,time,close,high,low,open,volume
SHOP W0PNKBMQMN39,2015-05-22,25.68,28.72,24.6,28.0,12289658.0
SHOP W0PNKBMQMN39,2015-05-23,28.31,31.1,26.0,26.07,2808579.0
SHOP W0PNKBMQMN39,2015-05-27,29.65,30.34,29.11,29.6,770318.0
SHOP W0PNKBMQMN39,2015-05-28,27.5,30.82,27.0,30.65,781642.0
SHOP W0PNKBMQMN39,2015-05-29,27.45,27.74,26.48,27.5,396499.0
SHOP W0PNKBMQMN39,2015-05-30,27.2,27.38,26.87,27.07,254208.0
SHOP W0PNKBMQMN39,2015-06-02,27.33,27.44,26.6,27.2,256521.0
SHOP W0PNKBMQMN39,2015-06-03,26.95,27.45,26.68,27.06,374784.0
SHOP W0PNKBMQMN39,2015-06-04,27.44,27.5,26.5,26.76,301493.0
SHOP W0PNKBMQMN39,2015-06-05,26.78,27.49,25.51,27.42,322377.0
SHOP W0PNKBMQMN39,2015-06-06,27.39,27.39,26.1,26.66,128627.0
SHOP W0PNKBMQMN39,2015-06-09,26.98,27.48,26.82,26.9,280832.0
SHOP W0PNKBMQMN39,2015-06-10,28.34,28.46,26.64,26.64,336585.0
SHOP W0PNKBMQMN39,2015-06-11,28.1,28.88,27.95,28.5,272788.0
SHOP W0PNKBMQMN39,2015-06-12,30.73,30.73,28.49,28.49,457919.0
SHOP W0PNKBMQMN39,2015-06-13,33.63,33.7,31.25,31.62,831985.0
SHOP W0PNKBMQMN39,2015-06-16,35.5,38.12,33.3,33.97,1661668.0
SHOP W0PNKBMQMN39,2015-06-17,38.1,38.32,35.84,36.45,1099385.0
SHOP W0PNKBMQMN39,2015-06-18,38.63,42.01,38.01,39.75,1577054.0
SHOP W0PNKBMQMN39,2015-06-19,35.55,38.89,34.39,38.42,1142383.0
SHOP W0PNKBMQMN39,2015-06-20,35.32,36.74,32.55,36.5,922517.0
SHOP W0PNKBMQMN39,2015-06-23,36.87,38.5,36.13,36.6,769978.0
SHOP W0PNKBMQMN39,2015-06-24,35.43,38.17,35.21,38.0,291727.0
SHOP W0PNKBMQMN39,2015-06-25,35.96,37.43,34.14,35.12,561382.0
SHOP W0PNKBMQMN39,2015-06-26,34.84,36.5,34.8,36.34,207649.0
SHOP W0PNKBMQMN39,2015-06-27,33.52,35.32,32.74,34.87,344792.0
SHOP W0PNKBMQMN39,2015-06-30,31.32,33.49,31.21,32.1,311079.0
SHOP W0PNKBMQMN39,2015-07-01,33.95,34.38,31.5,31.5,468737.0
SHOP W0PNKBMQMN39,2015-07-02,31.11,34.97,29.88,34.42,1003866.0
SHOP W0PNKBMQMN39,2015-07-03,31.31,31.73,30.62,31.51,301128.0
SHOP W0PNKBMQMN39,2015-07-07,30.53,31.74,30.38,30.92,146998.0
SHOP W0PNKBMQMN39,2015-07-08,30.76,30.83,28.5,30.47,342340.0
SHOP W0PNKBMQMN39,2015-07-09,29.19,30.36,29.03,30.02,180586.0
SHOP W0PNKBMQMN39,2015-07-10,29.06,30.38,28.8,29.73,248811.0
SHOP W0PNKBMQMN39,2015-07-11,29.6,30.29,29.1,29.6,280286.0
SHOP W0PNKBMQMN39,2015-07-14,30.42,30.99,29.76,29.76,219093.0
SHOP W0PNKBMQMN39,2015-07-15,30.86,31.33,30.5,30.78,144770.0
SHOP W0PNKBMQMN39,2015-07-16,29.34,31.01,28.94,30.89,356717.0
SHOP W0PNKBMQMN39,2015-07-17,29.39,29.87,28.93,29.06,147744.0
SHOP W0PNKBMQMN39,2015-07-18,32.27,32.35,29.15,29.32,1615964.0
SHOP W0PNKBMQMN39,2015-07-21,33.75,33.9,31.64,32.69,413299.0
SHOP W0PNKBMQMN39,2015-07-22,33.22,34.66,32.09,34.0,414469.0
SHOP W0PNKBMQMN39,2015-07-23,32.14,33.49,31.39,32.99,254152.0
SHOP W0PNKBMQMN39,2015-07-24,33.11,34.43,32.58,32.59,264870.0
SHOP W0PNKBMQMN39,2015-07-25,33.57,34.75,33.25,33.55,350915.0
SHOP W0PNKBMQMN39,2015-07-28,32.87,33.91,32.05,33.4,199882.0
SHOP W0PNKBMQMN39,2015-07-29,34.06,34.48,32.83,33.5,173233.0
SHOP W0PNKBMQMN39,2015-07-30,34.16,34.84,33.2,34.1,200476.0
SHOP W0PNKBMQMN39,2015-07-31,38.13,40.25,37.04,38.5,1095551.0
SHOP W0PNKBMQMN39,2015-08-01,37.39,38.25,36.47,38.13,525279.0
SHOP W0PNKBMQMN39,2015-08-04,40.36,40.48,36.6,37.49,532365.0
SHOP W0PNKBMQMN39,2015-08-05,38.41,41.02,38.13,38.95,566438.0
SHOP W0PNKBMQMN39,2015-08-06,38.45,39.93,38.19,39.02,290094.0
SHOP W0PNKBMQMN39,2015-08-07,36.28,38.75,35.2,38.4,382392.0
SHOP W0PNKBMQMN39,2015-08-08,35.16,36.27,34.25,36.27,320847.0
SHOP W0PNKBMQMN39,2015-08-11,33.47,36.14,32.87,35.3,477644.0
SHOP W0PNKBMQMN39,2015-08-12,35.14,35.52,32.96,33.66,262824.0
SHOP W0PNKBMQMN39,2015-08-13,34.73,35.04,33.75,34.85,234700.0
SHOP W0PNKBMQMN39,2015-08-14,35.31,36.41,34.51,34.79,224678.0
SHOP W0PNKBMQMN39,2015-08-15,34.56,35.75,34.09,35.0,143213.0
SHOP W0PNKBMQMN39,2015-08-18,34.41,35.0,33.3,34.77,162272.0
SHOP W0PNKBMQMN39,2015-08-19,32.6,34.18,32.48,34.18,186896.0
SHOP W0PNKBMQMN39,2015-08-20,31.1,32.47,30.6,32.37,443910.0
SHOP W0PNKBMQMN39,2015-08-21,29.22,31.1,29.15,30.76,269010.0
SHOP W0PNKBMQMN39,2015-08-22,27.77,29.97,27.31,28.75,398654.0
SHOP W0PNKBMQMN39,2015-08-25,26.28,28.49,22.7,25.51,398390.0
SHOP W0PNKBMQMN39,2015-08-26,26.93,29.78,26.85,27.83,275392.0
SHOP W0PNKBMQMN39,2015-08-27,28.22,28.57,26.3,28.5,370677.0
SHOP W0PNKBMQMN39,2015-08-28,28.51,29.6,27.8,28.94,251320.0
SHOP W0PNKBMQMN39,2015-08-29,28.0,29.01,27.72,28.36,134787.0
SHOP W0PNKBMQMN39,2015-09-01,27.54,28.77,27.23,28.14,128905.0
SHOP W0PNKBMQMN39,2015-09-02,26.6,27.29,26.4,27.29,125413.0
SHOP W0PNKBMQMN39,2015-09-03,26.7,27.55,26.06,26.73,161901.0
SHOP W0PNKBMQMN39,2015-09-04,27.15,28.0,26.51,26.56,131568.0
SHOP W0PNKBMQMN39,2015-09-05,26.81,27.23,26.37,26.98,123658.0
SHOP W0PNKBMQMN39,2015-09-09,27.14,27.65,26.75,27.03,106937.0
SHOP W0PNKBMQMN39,2015-09-10,26.01,28.49,25.9,27.9,309361.0
SHOP W0PNKBMQMN39,2015-09-11,25.77,26.47,25.58,26.05,130506.0
SHOP W0PNKBMQMN39,2015-09-12,26.36,26.47,25.55,25.55,180069.0
SHOP W0PNKBMQMN39,2015-09-15,27.21,27.26,26.01,26.27,219290.0
SHOP W0PNKBMQMN39,2015-09-16,28.11,28.32,27.1,27.14,250144.0
SHOP W0PNKBMQMN39,2015-09-17,28.91,29.26,28.04,28.13,132370.0
SHOP W0PNKBMQMN39,2015-09-18,35.55,37.95,29.85,29.85,2061677.0
SHOP W0PNKBMQMN39,2015-09-19,35.66,37.47,34.52,36.05,766745.0
SHOP W0PNKBMQMN39,2015-09-22,34.83,37.0,34.78,35.98,388466.0
SHOP W0PNKBMQMN39,2015-09-23,33.66,34.5,32.81,34.5,317213.0
SHOP W0PNKBMQMN39,2015-09-24,33.5,34.67,32.83,33.53,332444.0
SHOP W0PNKBMQMN39,2015-09-25,33.47,34.09,32.1,32.98,239148.0
SHOP W0PNKBMQMN39,2015-09-26,33.91,35.64,33.12,33.85,347118.0
SHOP W0PNKBMQMN39,2015-09-29,33.05,33.97,32.5,33.64,200994.0
SHOP W0PNKBMQMN39,2015-09-30,33.64,33.99,32.41,32.85,215422.0
SHOP W0PNKBMQMN39,2015-10-01,35.2,35.765,33.765,35.49,276630.0
SHOP W0PNKBMQMN39,2015-10-02,35.07,35.75,33.74,35.37,247652.0
SHOP W0PNKBMQMN39,2015-10-03,35.81,36.1,34.19,34.65,223730.0
