symbol,time,close,high,low,open,volume
TSLA UNU3P8Y3WFAD,2010-06-30,4.778,5.0,3.508,3.8,93046000.0
TSLA UNU3P8Y3WFAD,2010-07-01,4.766,6.082,4.66,5.192,83795445.0
TSLA UNU3P8Y3WFAD,2010-07-02,4.392,5.184,4.054,5.0,40268725.0
TSLA UNU3P8Y3WFAD,2010-07-03,3.84,4.62,3.742,4.6,25304585.0
TSLA UNU3P8Y3WFAD,2010-07-07,3.222,4.0,3.166,4.0,33412785.0
TSLA UNU3P8Y3WFAD,2010-07-08,3.16,3.326,2.996,3.28,34142810.0
TSLA UNU3P8Y3WFAD,2010-07-09,3.492,3.504,3.114,3.228,37813280.0
TSLA UNU3P8Y3WFAD,2010-07-10,3.48,3.58,3.312,3.516,19169335.0
TSLA UNU3P8Y3WFAD,2010-07-13,3.41,3.614,3.4,3.59,10605735.0
TSLA UNU3P8Y3WFAD,2010-07-14,3.628,3.728,3.38,3.51,13069650.0
TSLA UNU3P8Y3WFAD,2010-07-15,3.968,4.03,3.552,3.588,20870935.0
TSLA UNU3P8Y3WFAD,2010-07-16,3.978,4.3,3.8,3.988,18396460.0
TSLA UNU3P8Y3WFAD,2010-07-17,4.14,4.26,4.01,4.14,12491905.0
TSLA UNU3P8Y3WFAD,2010-07-20,4.382,4.45,4.184,4.27,11976130.0
TSLA UNU3P8Y3WFAD,2010-07-21,4.06,4.37,4.012,4.37,8962175.0
TSLA UNU3P8Y3WFAD,2010-07-22,4.044,4.18,3.9,4.132,5997000.0
TSLA UNU3P8Y3WFAD,2010-07-23,4.2,4.25,4.074,4.1,4749520.0
TSLA UNU3P8Y3WFAD,2010-07-24,4.258,4.312,4.212,4.238,3221790.0
TSLA UNU3P8Y3WFAD,2010-07-27,4.19,4.3,4.07,4.3,4554935.0
TSLA UNU3P8Y3WFAD,2010-07-28,4.11,4.236,4.052,4.182,3067385.0
TSLA UNU3P8Y3WFAD,2010-07-29,4.144,4.18,4.102,4.11,2320840.0
TSLA UNU3P8Y3WFAD,2010-07-30,4.07,4.176,4.0,4.154,3060050.0
TSLA UNU3P8Y3WFAD,2010-07-31,3.988,4.088,3.91,4.04,2113660.0
TSLA UNU3P8Y3WFAD,2010-08-03,4.184,4.194,4.066,4.076,3552475.0
TSLA UNU3P8Y3WFAD,2010-08-04,4.39,4.39,4.164,4.2,6105475.0
TSLA UNU3P8Y3WFAD,2010-08-05,4.252,4.436,4.17,4.39,4512595.0
TSLA UNU3P8Y3WFAD,2010-08-06,4.09,4.31,4.01,4.308,3860170.0
TSLA UNU3P8Y3WFAD,2010-08-07,3.934,4.032,3.906,4.02,3692135.0
TSLA UNU3P8Y3WFAD,2010-08-10,3.92,3.996,3.89,3.98,3988890.0
TSLA UNU3P8Y3WFAD,2010-08-11,3.806,3.93,3.764,3.93,6356710.0
TSLA UNU3P8Y3WFAD,2010-08-12,3.58,3.776,3.57,3.738,3949860.0
TSLA UNU3P8Y3WFAD,2010-08-13,3.52,3.58,3.478,3.56,3411580.0
TSLA UNU3P8Y3WFAD,2010-08-14,3.658,3.69,3.532,3.636,3141255.0
TSLA UNU3P8Y3WFAD,2010-08-17,3.756,3.76,3.652,3.698,2414805.0
TSLA UNU3P8Y3WFAD,2010-08-18,3.83,3.88,3.756,3.792,2232425.0
TSLA UNU3P8Y3WFAD,2010-08-19,3.754,3.918,3.72,3.918,2982895.0
TSLA UNU3P8Y3WFAD,2010-08-20,3.766,3.84,3.666,3.708,2890910.0
TSLA UNU3P8Y3WFAD,2010-08-21,3.82,3.822,3.702,3.73,1465220.0
TSLA UNU3P8Y3WFAD,2010-08-24,4.026,4.076,3.8,3.818,5419425.0
TSLA UNU3P8Y3WFAD,2010-08-25,3.84,3.942,3.79,3.862,3623060.0
TSLA UNU3P8Y3WFAD,2010-08-26,3.98,3.996,3.712,3.832,2491945.0
TSLA UNU3P8Y3WFAD,2010-08-27,3.95,4.054,3.92,3.978,2111190.0
TSLA UNU3P8Y3WFAD,2010-08-28,3.94,3.974,3.9,3.95,1876835.0
TSLA UNU3P8Y3WFAD,2010-08-31,3.974,4.038,3.922,3.94,3634965.0
TSLA UNU3P8Y3WFAD,2010-09-01,3.928,3.958,3.866,3.932,986060.0
TSLA UNU3P8Y3WFAD,2010-09-02,4.102,4.138,3.92,3.924,2459925.0
TSLA UNU3P8Y3WFAD,2010-09-03,4.212,4.248,4.062,4.074,2426800.0
