symbol,time,close,high,low,open,volume
LMND XFTY32B7MQ1X,2021-01-04 10:00:00,117.0,126.05,116.14,126.05,633118.0
LMND XFTY32B7MQ1X,2021-01-04 11:00:00,115.53,118.06,113.56,116.95,816869.0
LMND XFTY32B7MQ1X,2021-01-04 12:00:00,114.77,115.73,114.0,115.41,405772.0
LMND XFTY32B7MQ1X,2021-01-04 13:00:00,112.5,115.51,111.63,115.03,472340.0
LMND XFTY32B7MQ1X,2021-01-04 14:00:00,112.86,113.72,111.6,112.52,394908.0
LMND XFTY32B7MQ1X,2021-01-04 15:00:00,111.32,113.31,111.32,112.71,294385.0
LMND XFTY32B7MQ1X,2021-01-04 16:00:00,113.36,113.52,111.1,111.43,623950.0
LMND XFTY32B7MQ1X,2021-01-05 10:00:00,119.355,120.3,114.6,114.69,566193.0
LMND XFTY32B7MQ1X,2021-01-05 11:00:00,119.38,120.34,117.31,119.4,409969.0
LMND XFTY32B7MQ1X,2021-01-05 12:00:00,120.99,121.33,118.46,119.5,355056.0
LMND XFTY32B7MQ1X,2021-01-05 13:00:00,121.355,122.0,119.84,121.3,242021.0
LMND XFTY32B7MQ1X,2021-01-05 14:00:00,121.15,121.72,119.95,121.44,157352.0
LMND XFTY32B7MQ1X,2021-01-05 15:00:00,122.35,124.17,121.32,121.32,331801.0
LMND XFTY32B7MQ1X,2021-01-05 16:00:00,122.0,123.35,121.49,122.21,452803.0
LMND XFTY32B7MQ1X,2021-01-06 10:00:00,119.695,120.25,113.62,118.0,446304.0
LMND XFTY32B7MQ1X,2021-01-06 11:00:00,119.48,121.0,118.3,119.32,298625.0
LMND XFTY32B7MQ1X,2021-01-06 12:00:00,122.15,122.97,119.59,119.6,294040.0
LMND XFTY32B7MQ1X,2021-01-06 13:00:00,123.01,123.57,121.31,122.365,267947.0
LMND XFTY32B7MQ1X,2021-01-06 14:00:00,121.99,123.5,121.25,123.05,268379.0
LMND XFTY32B7MQ1X,2021-01-06 15:00:00,120.08,122.86,118.12,121.995,351907.0
LMND XFTY32B7MQ1X,2021-01-06 16:00:00,119.34,120.67,119.0,119.94,243476.0
LMND XFTY32B7MQ1X,2021-01-07 10:00:00,127.28,128.31,122.7,122.92,657170.0
LMND XFTY32B7MQ1X,2021-01-07 11:00:00,129.83,130.01,126.99,127.04,528129.0
LMND XFTY32B7MQ1X,2021-01-07 12:00:00,129.87,130.04,128.08,129.5,288072.0
LMND XFTY32B7MQ1X,2021-01-07 13:00:00,130.865,130.98,129.14,129.92,332440.0
