symbol,time,askclose,askhigh,asklow,askopen,asksize,bidclose,bidhigh,bidlow,bidopen,bidsize,close,high,low,open,volume
LMND XFTY32B7MQ1X,2021-01-04 09:31:00,124.99,126.36,124.99,126.36,200.0,124.5,125.57,124.5,124.9,600.0,124.71,126.05,124.71,126.05,76167.0
LMND XFTY32B7MQ1X,2021-01-04 09:32:00,126.29,126.29,124.99,124.99,500.0,125.5,125.66,124.5,124.5,100.0,125.99,126.0,125.0,125.0,10922.0
LMND XFTY32B7MQ1X,2021-01-04 09:33:00,126.26,126.29,126.0,126.29,100.0,125.95,126.05,125.5,125.5,100.0,126.04,126.05,125.68,125.68,11259.0
LMND XFTY32B7MQ1X,2021-01-04 09:34:00,125.46,126.26,125.45,126.26,200.0,124.52,125.95,124.5,125.95,200.0,125.0,125.9,125.0,125.9,12791.0
LMND XFTY32B7MQ1X,2021-01-04 09:35:00,123.58,125.46,123.58,125.46,100.0,123.0,124.52,123.0,124.52,1700.0,123.38,124.37,123.38,124.37,11494.0
LMND XFTY32B7MQ1X,2021-01-04 09:36:00,122.99,123.58,122.75,123.58,100.0,122.55,123.02,122.55,123.0,400.0,122.78,123.06,122.75,123.05,12008.0
LMND XFTY32B7MQ1X,2021-01-04 09:37:00,122.5,122.99,122.28,122.99,500.0,122.2,122.55,122.0,122.55,100.0,122.41,122.62,122.14,122.62,16940.0
LMND XFTY32B7MQ1X,2021-01-04 09:38:00,121.4,122.5,121.4,122.5,100.0,121.0,122.2,121.0,122.2,3000.0,121.3,122.21,121.3,122.2,15603.0
LMND XFTY32B7MQ1X,2021-01-04 09:39:00,119.95,121.4,119.94,121.4,100.0,119.16,121.0,119.16,121.0,100.0,120.0,121.24,119.8,121.0,45540.0
LMND XFTY32B7MQ1X,2021-01-04 09:40:00,120.5,120.7,119.33,119.95,100.0,119.71,120.0,119.01,119.16,100.0,120.0,120.02,119.45,119.505,18641.0
LMND XFTY32B7MQ1X,2021-01-04 09:41:00,119.75,120.5,119.39,120.5,100.0,119.25,119.9,119.01,119.71,1000.0,119.21,119.9,119.16,119.76,13600.0
LMND XFTY32B7MQ1X,2021-01-04 09:42:00,119.29,120.0,119.01,119.75,100.0,118.8,119.58,118.63,119.25,100.0,119.0,119.75,119.0,119.75,17891.0
LMND XFTY32B7MQ1X,2021-01-04 09:43:00,117.64,119.29,117.19,119.29,100.0,116.86,118.9,116.86,118.8,200.0,117.21,119.09,116.88,119.09,50832.0
LMND XFTY32B7MQ1X,2021-01-04 09:44:00,116.93,118.0,116.6,117.64,100.0,116.29,117.3,116.07,116.86,300.0,116.49,117.82,116.14,116.88,58907.0
LMND XFTY32B7MQ1X,2021-01-04 09:45:00,116.99,118.0,116.8,116.93,400.0,116.38,117.5,116.29,116.29,100.0,116.52,117.5,116.39,116.62,40092.0
LMND XFTY32B7MQ1X,2021-01-04 09:46:00,117.85,117.86,116.85,116.99,200.0,117.3,117.37,116.34,116.38,300.0,117.475,117.5,116.34,116.96,33316.0
LMND XFTY32B7MQ1X,2021-01-04 09:47:00,118.27,118.34,117.46,117.85,100.0,118.02,118.02,117.0,117.3,100.0,118.02,118.02,117.425,117.425,17672.0
LMND XFTY32B7MQ1X,2021-01-04 09:48:00,117.82,118.33,117.5,118.27,400.0,117.55,118.14,117.23,118.02,300.0,117.68,118.12,117.605,118.12,20003.0
LMND XFTY32B7MQ1X,2021-01-04 09:49:00,117.65,118.16,117.49,117.82,100.0,117.22,118.07,117.1,117.55,100.0,117.61,118.16,117.57,117.78,16605.0
