symbol,time,close,high,low,open,volume
NOK R735QTJ8XC9X,2021-01-04 10:00:00,3.9602,3.99,3.94,3.97,4998039.0
NOK R735QTJ8XC9X,2021-01-04 11:00:00,3.9213,3.98,3.9113,3.9616,4904103.0
NOK R735QTJ8XC9X,2021-01-04 12:00:00,3.87,3.93,3.87,3.925,7141700.0
NOK R735QTJ8XC9X,2021-01-04 13:00:00,3.86,3.88,3.85,3.875,2794233.0
NOK R735QTJ8XC9X,2021-01-04 14:00:00,3.9,3.9,3.86,3.865,2620923.0
NOK R735QTJ8XC9X,2021-01-04 15:00:00,3.895,3.91,3.87,3.895,4318279.0
NOK R735QTJ8XC9X,2021-01-04 16:00:00,3.89,3.9,3.87,3.897,2753517.0
NOK R735QTJ8XC9X,2021-01-05 10:00:00,3.985,4.01,3.97,3.99,6456074.0
NOK R735QTJ8XC9X,2021-01-05 11:00:00,3.955,3.99,3.95,3.985,7515042.0
NOK R735QTJ8XC9X,2021-01-05 12:00:00,3.985,4.0,3.95,3.9558,5246605.0
NOK R735QTJ8XC9X,2021-01-05 13:00:00,4.01,4.01,3.98,3.98,2474728.0
NOK R735QTJ8XC9X,2021-01-05 14:00:00,4.035,4.05,4.0,4.01,4615413.0
NOK R735QTJ8XC9X,2021-01-05 15:00:00,4.056,4.06,4.03,4.035,5011016.0
NOK R735QTJ8XC9X,2021-01-05 16:00:00,4.04,4.0599,4.02,4.05,5255152.0
NOK R735QTJ8XC9X,2021-01-06 10:00:00,4.0263,4.03,4.01,4.01,5563979.0
NOK R735QTJ8XC9X,2021-01-06 11:00:00,4.0618,4.08,4.02,4.025,6034162.0
NOK R735QTJ8XC9X,2021-01-06 12:00:00,4.042,4.07,4.04,4.06,5564228.0
NOK R735QTJ8XC9X,2021-01-06 13:00:00,4.07,4.07,4.04,4.0416,2872189.0
NOK R735QTJ8XC9X,2021-01-06 14:00:00,4.0801,4.09,4.06,4.0654,4563151.0
NOK R735QTJ8XC9X,2021-01-06 15:00:00,4.043,4.09,4.03,4.085,5141941.0
NOK R735QTJ8XC9X,2021-01-06 16:00:00,4.04,4.06,4.03,4.0412,6852678.0
NOK R735QTJ8XC9X,2021-01-07 10:00:00,4.015,4.03,4.0,4.01,1693628.0
NOK R735QTJ8XC9X,2021-01-07 11:00:00,4.0019,4.02,3.99,4.015,5375637.0
NOK R735QTJ8XC9X,2021-01-07 12:00:00,4.011,4.02,4.0,4.0,2469709.0
NOK R735QTJ8XC9X,2021-01-07 13:00:00,4.02,4.03,4.0,4.0143,2786295.0
NOK R735QTJ8XC9X,2021-01-07 14:00:00,4.01,4.02,4.01,4.0132,1807293.0
NOK R735QTJ8XC9X,2021-01-07 15:00:00,3.9958,4.02,3.99,4.01,3777931.0
NOK R735QTJ8XC9X,2021-01-07 16:00:00,3.99,4.0,3.97,3.9902,6659696.0
NOK R735QTJ8XC9X,2021-01-08 10:00:00,3.935,3.95,3.92,3.94,3621778.0
NOK R735QTJ8XC9X,2021-01-08 11:00:00,3.93,3.94,3.9,3.9319,5148212.0
NOK R735QTJ8XC9X,2021-01-08 12:00:00,3.95,3.95,3.92,3.925,3114602.0
NOK R735QTJ8XC9X,2021-01-08 13:00:00,3.945,3.95,3.94,3.9461,2806028.0
NOK R735QTJ8XC9X,2021-01-08 14:00:00,3.925,3.95,3.91,3.95,2750448.0
NOK R735QTJ8XC9X,2021-01-08 15:00:00,3.935,3.94,3.92,3.93,1803578.0
NOK R735QTJ8XC9X,2021-01-08 16:00:00,3.93,3.96,3.93,3.935,3832356.0
NOK R735QTJ8XC9X,2021-01-11 10:00:00,3.865,3.87,3.83,3.85,4561577.0
NOK R735QTJ8XC9X,2021-01-11 11:00:00,3.8446,3.87,3.83,3.865,6734018.0
NOK R735QTJ8XC9X,2021-01-11 12:00:00,3.8913,3.91,3.84,3.8401,7090851.0
NOK R735QTJ8XC9X,2021-01-11 13:00:00,3.91,3.91,3.89,3.89,2351653.0
NOK R735QTJ8XC9X,2021-01-11 14:00:00,3.9082,3.94,3.9,3.905,4992319.0
NOK R735QTJ8XC9X,2021-01-11 15:00:00,3.905,3.92,3.89,3.905,3866110.0
NOK R735QTJ8XC9X,2021-01-11 16:00:00,3.87,3.91,3.87,3.905,6206246.0
NOK R735QTJ8XC9X,2021-01-12 10:00:00,3.9734,3.975,3.93,3.94,3436959.0
NOK R735QTJ8XC9X,2021-01-12 11:00:00,3.985,3.99,3.9538,3.9714,4679049.0
NOK R735QTJ8XC9X,2021-01-12 12:00:00,3.995,4.0,3.97,3.9867,5641600.0
NOK R735QTJ8XC9X,2021-01-12 13:00:00,3.985,4.0,3.98,3.995,1458863.0
NOK R735QTJ8XC9X,2021-01-12 14:00:00,3.998,4.0,3.98,3.985,3394785.0
NOK R735QTJ8XC9X,2021-01-12 15:00:00,4.005,4.02,3.99,3.9916,2880036.0
NOK R735QTJ8XC9X,2021-01-12 16:00:00,4.01,4.02,4.0,4.0,3571552.0
NOK R735QTJ8XC9X,2021-01-13 10:00:00,3.955,3.96,3.91,3.91,4287550.0
NOK R735QTJ8XC9X,2021-01-13 11:00:00,3.96,3.97,3.93,3.955,3920654.0
NOK R735QTJ8XC9X,2021-01-13 12:00:00,3.955,3.98,3.94,3.9684,9349989.0
NOK R735QTJ8XC9X,2021-01-13 13:00:00,3.96,3.96,3.95,3.9599,2504338.0
NOK R735QTJ8XC9X,2021-01-13 14:00:00,3.97,3.97,3.95,3.96,5486351.0
NOK R735QTJ8XC9X,2021-01-13 15:00:00,3.971,3.98,3.96,3.9697,2408043.0
