symbol,time,askclose,askhigh,asklow,askopen,asksize,bidclose,bidhigh,bidlow,bidopen,bidsize,close,high,low,open,volume
NOK R735QTJ8XC9X,2021-01-04 09:31:00,3.97,3.99,3.97,3.99,127500.0,3.96,3.98,3.96,3.98,93400.0,3.97,3.99,3.97,3.97,819761.0
NOK R735QTJ8XC9X,2021-01-04 09:32:00,3.97,3.97,3.97,3.97,164400.0,3.96,3.96,3.96,3.96,153000.0,3.965,3.97,3.96,3.961,93577.0
NOK R735QTJ8XC9X,2021-01-04 09:33:00,3.97,3.97,3.97,3.97,130700.0,3.96,3.96,3.96,3.96,159700.0,3.9654,3.97,3.96,3.968,43345.0
NOK R735QTJ8XC9X,2021-01-04 09:34:00,3.97,3.97,3.97,3.97,205500.0,3.96,3.96,3.96,3.96,81300.0,3.968,3.97,3.96,3.965,26970.0
NOK R735QTJ8XC9X,2021-01-04 09:35:00,3.97,3.97,3.97,3.97,206100.0,3.96,3.96,3.96,3.96,65600.0,3.965,3.97,3.96,3.965,155839.0
NOK R735QTJ8XC9X,2021-01-04 09:36:00,3.95,3.97,3.95,3.97,115200.0,3.94,3.96,3.94,3.96,206100.0,3.9455,3.968,3.94,3.9613,289003.0
NOK R735QTJ8XC9X,2021-01-04 09:37:00,3.96,3.96,3.95,3.95,312000.0,3.95,3.95,3.94,3.94,122000.0,3.955,3.955,3.94,3.945,204879.0
NOK R735QTJ8XC9X,2021-01-04 09:38:00,3.96,3.96,3.96,3.96,197400.0,3.95,3.95,3.95,3.95,159200.0,3.955,3.96,3.95,3.955,116790.0
NOK R735QTJ8XC9X,2021-01-04 09:39:00,3.97,3.97,3.96,3.96,172400.0,3.96,3.96,3.95,3.95,194000.0,3.965,3.965,3.9501,3.955,214900.0
NOK R735QTJ8XC9X,2021-01-04 09:40:00,3.97,3.97,3.97,3.97,242600.0,3.96,3.96,3.96,3.96,113300.0,3.965,3.97,3.96,3.967,71927.0
NOK R735QTJ8XC9X,2021-01-04 09:41:00,3.97,3.97,3.97,3.97,198200.0,3.96,3.96,3.96,3.96,174300.0,3.961,3.97,3.96,3.965,89578.0
NOK R735QTJ8XC9X,2021-01-04 09:42:00,3.97,3.97,3.97,3.97,192200.0,3.96,3.96,3.96,3.96,178300.0,3.965,3.9656,3.96,3.965,13103.0
NOK R735QTJ8XC9X,2021-01-04 09:43:00,3.96,3.97,3.96,3.97,258100.0,3.95,3.96,3.95,3.96,158800.0,3.958,3.97,3.9513,3.96,528594.0
NOK R735QTJ8XC9X,2021-01-04 09:44:00,3.97,3.97,3.96,3.96,298700.0,3.96,3.96,3.95,3.95,152800.0,3.965,3.97,3.952,3.955,320886.0
NOK R735QTJ8XC9X,2021-01-04 09:45:00,3.97,3.97,3.97,3.97,194600.0,3.96,3.96,3.96,3.96,205400.0,3.965,3.97,3.96,3.961,69060.0
NOK R735QTJ8XC9X,2021-01-04 09:46:00,3.97,3.97,3.97,3.97,251500.0,3.96,3.96,3.96,3.96,286400.0,3.965,3.97,3.96,3.9616,88077.0
NOK R735QTJ8XC9X,2021-01-04 09:47:00,3.97,3.97,3.97,3.97,254800.0,3.96,3.96,3.96,3.96,290100.0,3.965,3.97,3.9601,3.965,95873.0
NOK R735QTJ8XC9X,2021-01-04 09:48:00,3.97,3.98,3.97,3.97,258800.0,3.96,3.97,3.96,3.96,244500.0,3.961,3.98,3.96,3.9663,580546.0
NOK R735QTJ8XC9X,2021-01-04 09:49:00,3.97,3.97,3.97,3.97,269600.0,3.96,3.96,3.96,3.96,226700.0,3.9698,3.97,3.96,3.96,64254.0
