symbol,time,askclose,askhigh,asklow,askopen,asksize,bidclose,bidhigh,bidlow,bidopen,bidsize,close,high,low,open,volume
NVDA RHM8UTD8DT2D,2021-01-04 09:31:00,519.17,525.2,519.17,524.64,100.0,518.88,523.65,518.88,523.65,100.0,519.14,524.48,518.88,523.64,208530.0
NVDA RHM8UTD8DT2D,2021-01-04 09:32:00,521.02,522.5,519.0,519.17,100.0,520.2,521.86,518.55,518.88,100.0,520.85,522.27,518.66,518.88,37966.0
NVDA RHM8UTD8DT2D,2021-01-04 09:33:00,519.6,521.7,519.4,521.02,100.0,519.0,520.79,519.0,520.2,300.0,519.42,521.2,519.16,520.38,30017.0
NVDA RHM8UTD8DT2D,2021-01-04 09:34:00,519.96,520.22,518.53,519.6,100.0,519.55,519.57,518.08,519.0,1700.0,519.95,520.0,518.5,519.52,37906.0
NVDA RHM8UTD8DT2D,2021-01-04 09:35:00,520.79,521.2,519.49,519.96,100.0,520.11,520.9,519.0,519.55,100.0,520.57,521.0,519.15,519.96,33790.0
NVDA RHM8UTD8DT2D,2021-01-04 09:36:00,521.53,521.6,520.17,520.79,100.0,521.08,521.28,519.6,520.11,200.0,521.28,521.47,519.86,520.53,30337.0
NVDA RHM8UTD8DT2D,2021-01-04 09:37:00,520.58,521.53,520.39,521.53,100.0,520.32,521.08,520.03,521.08,100.0,520.38,521.31,520.1,521.31,29215.0
NVDA RHM8UTD8DT2D,2021-01-04 09:38:00,520.28,521.0,520.2,520.58,100.0,520.06,520.68,520.03,520.32,100.0,520.2,520.83,520.05,520.32,34183.0
NVDA RHM8UTD8DT2D,2021-01-04 09:39:00,521.95,522.24,520.01,520.28,100.0,521.44,522.12,519.96,520.06,100.0,521.5,522.22,520.0,520.06,31551.0
NVDA RHM8UTD8DT2D,2021-01-04 09:40:00,521.36,522.37,521.36,521.95,100.0,521.13,522.08,520.85,521.44,100.0,521.36,522.31,521.11,521.52,32431.0
NVDA RHM8UTD8DT2D,2021-01-04 09:41:00,522.4,522.5,521.16,521.36,100.0,522.21,522.29,521.02,521.13,200.0,522.27,522.43,521.03,521.36,29792.0
