symbol,time,askclose,askhigh,asklow,askopen,asksize,bidclose,bidhigh,bidlow,bidopen,bidsize,close,high,low,open,volume
QQQ RIWIV7K5Z9LX,2021-01-04 09:31:00,314.69,315.29,314.67,315.13,200.0,314.67,315.28,314.65,315.11,200.0,314.69,315.29,314.67,315.18,536207.0
QQQ RIWIV7K5Z9LX,2021-01-04 09:32:00,314.74,314.87,314.56,314.69,300.0,314.72,314.86,314.54,314.67,200.0,314.72,314.86,314.55,314.66,230808.0
QQQ RIWIV7K5Z9LX,2021-01-04 09:33:00,314.49,314.74,314.47,314.74,200.0,314.48,314.73,314.46,314.72,200.0,314.49,314.73,314.46,314.73,119954.0
QQQ RIWIV7K5Z9LX,2021-01-04 09:34:00,314.28,314.52,314.21,314.49,100.0,314.27,314.5,314.2,314.48,1000.0,314.27,314.5,314.2,314.49,154141.0
QQQ RIWIV7K5Z9LX,2021-01-04 09:35:00,314.39,314.46,314.24,314.28,100.0,314.37,314.45,314.22,314.27,300.0,314.38,314.45,314.23,314.28,143867.0
QQQ RIWIV7K5Z9LX,2021-01-04 09:36:00,314.22,314.4,314.15,314.39,1000.0,314.21,314.39,314.13,314.37,100.0,314.26,314.39,314.15,314.39,86957.0
QQQ RIWIV7K5Z9LX,2021-01-04 09:37:00,313.86,314.22,313.82,314.22,300.0,313.85,314.21,313.81,314.21,800.0,313.85,314.21,313.81,314.21,165032.0
QQQ RIWIV7K5Z9LX,2021-01-04 09:38:00,313.83,313.99,313.75,313.86,100.0,313.82,313.97,313.74,313.85,800.0,313.82,313.99,313.75,313.84,160395.0
QQQ RIWIV7K5Z9LX,2021-01-04 09:39:00,313.65,313.84,313.61,313.83,100.0,313.64,313.83,313.6,313.82,2000.0,313.643,313.83,313.61,313.83,134985.0
QQQ RIWIV7K5Z9LX,2021-01-04 09:40:00,313.56,313.84,313.56,313.65,200.0,313.55,313.82,313.54,313.64,800.0,313.56,313.84,313.55,313.64,268544.0
QQQ RIWIV7K5Z9LX,2021-01-04 09:41:00,313.51,313.71,313.29,313.56,300.0,313.49,313.69,313.28,313.55,1000.0,313.49,313.7,313.28,313.56,219282.0
QQQ RIWIV7K5Z9LX,2021-01-04 09:42:00,313.78,313.87,313.37,313.51,100.0,313.76,313.85,313.35,313.49,1100.0,313.77,313.869,313.37,313.51,247772.0
QQQ RIWIV7K5Z9LX,2021-01-04 09:43:00,313.81,313.81,313.58,313.78,200.0,313.8,313.8,313.56,313.76,200.0,313.78,313.8,313.58,313.762,139985.0
QQQ RIWIV7K5Z9LX,2021-01-04 09:44:00,313.95,314.0,313.81,313.81,1900.0,313.93,313.99,313.8,313.8,100.0,313.94,314.0,313.81,313.82,135916.0
QQQ RIWIV7K5Z9LX,2021-01-04 09:45:00,314.09,314.13,313.88,313.95,200.0,314.07,314.11,313.86,313.93,200.0,314.08,314.12,313.87,313.94,117818.0
QQQ RIWIV7K5Z9LX,2021-01-04 09:46:00,314.32,314.45,313.96,314.09,300.0,314.31,314.44,313.94,314.07,1100.0,314.31,314.44,313.96,314.08,121553.0
QQQ RIWIV7K5Z9LX,2021-01-04 09:47:00,314.38,314.46,314.28,314.32,800.0,314.36,314.45,314.26,314.31,400.0,314.36,314.46,314.28,314.31,124289.0
QQQ RIWIV7K5Z9LX,2021-01-04 09:48:00,314.22,314.57,314.22,314.38,1700.0,314.21,314.56,314.2,314.36,200.0,314.23,314.56,314.23,314.37,148537.0
QQQ RIWIV7K5Z9LX,2021-01-04 09:49:00,314.37,314.47,314.22,314.22,1100.0,314.35,314.46,314.21,314.21,300.0,314.36,314.47,314.22,314.23,159707.0
QQQ RIWIV7K5Z9LX,2021-01-04 09:50:00,314.48,314.56,314.33,314.37,1100.0,314.46,314.55,314.32,314.35,200.0,314.47,314.56,314.33,314.35,123916.0
QQQ RIWIV7K5Z9LX,2021-01-04 09:51:00,314.3,314.52,314.2,314.48,900.0,314.29,314.51,314.18,314.46,300.0,314.29,314.51,314.18,314.47,142612.0
QQQ RIWIV7K5Z9LX,2021-01-04 09:52:00,313.94,314.33,313.84,314.3,400.0,313.92,314.32,313.83,314.29,1900.0,313.93,314.32,313.83,314.3,116722.0
QQQ RIWIV7K5Z9LX,2021-01-04 09:53:00,313.63,313.96,313.61,313.94,200.0,313.62,313.94,313.6,313.92,1000.0,313.64,313.94,313.61,313.93,77653.0
QQQ RIWIV7K5Z9LX,2021-01-04 09:54:00,313.96,314.08,313.63,313.63,200.0,313.95,314.06,313.62,313.62,100.0,313.95,314.05,313.63,313.63,57059.0
QQQ RIWIV7K5Z9LX,2021-01-04 09:55:00,314.11,314.24,313.96,313.96,300.0,314.09,314.23,313.95,313.95,900.0,314.1,314.24,313.96,313.96,65785.0
QQQ RIWIV7K5Z9LX,2021-01-04 09:56:00,314.32,314.34,314.08,314.11,900.0,314.3,314.33,314.07,314.09,300.0,314.3,314.33,314.09,314.11,65086.0
QQQ RIWIV7K5Z9LX,2021-01-04 09:57:00,314.13,314.37,313.92,314.32,200.0,314.11,314.36,313.9,314.3,800.0,314.13,314.36,313.92,314.31,102084.0
QQQ RIWIV7K5Z9LX,2021-01-04 09:58:00,314.0,314.17,313.95,314.13,200.0,313.98,314.16,313.94,314.11,300.0,313.97,314.5,313.95,314.13,94500.0
QQQ RIWIV7K5Z9LX,2021-01-04 09:59:00,313.94,314.12,313.88,314.0,100.0,313.92,314.1,313.87,313.98,200.0,313.94,314.1,313.88,313.98,54142.0
QQQ RIWIV7K5Z9LX,2021-01-04 10:00:00,313.82,313.95,313.7,313.94,300.0,313.8,313.93,313.69,313.92,200.0,313.81,313.93,313.7,313.93,204681.0
QQQ RIWIV7K5Z9LX,2021-01-04 10:01:00,313.86,314.07,313.82,313.82,200.0,313.85,314.05,313.8,313.8,100.0,313.85,314.06,313.82,313.82,77238.0
QQQ RIWIV7K5Z9LX,2021-01-04 10:02:00,313.83,313.88,313.67,313.86,100.0,313.82,313.87,313.65,313.85,200.0,313.82,313.87,313.6,313.86,214650.0
QQQ RIWIV7K5Z9LX,2021-01-04 10:03:00,313.83,313.9,313.72,313.83,100.0,313.81,313.88,313.7,313.82,800.0,313.83,313.89,313.72,313.83,30809.0
QQQ RIWIV7K5Z9LX,2021-01-04 10:04:00,313.84,313.92,313.72,313.83,200.0,313.83,313.91,313.7,313.81,100.0,313.83,313.92,313.72,313.83,66862.0
QQQ RIWIV7K5Z9LX,2021-01-04 10:05:00,313.68,313.92,313.53,313.84,100.0,313.66,313.91,313.51,313.83,100.0,313.66,313.91,313.53,313.83,93217.0
QQQ RIWIV7K5Z9LX,2021-01-04 10:06:00,313.97,314.0,313.66,313.68,800.0,313.95,313.99,313.64,313.66,100.0,313.96,314.0,313.65,313.661,80700.0
QQQ RIWIV7K5Z9LX,2021-01-04 10:07:00,314.03,314.09,313.86,313.97,100.0,314.01,314.07,313.84,313.95,800.0,314.02,314.08,313.84,313.96,122335.0
QQQ RIWIV7K5Z9LX,2021-01-04 10:08:00,313.73,314.04,313.68,314.03,800.0,313.71,314.02,313.66,314.01,800.0,313.7,314.03,313.67,314.01,71760.0
QQQ RIWIV7K5Z9LX,2021-01-04 10:09:00,313.53,313.78,313.5,313.73,200.0,313.51,313.77,313.49,313.71,1100.0,313.52,314.0,313.49,313.72,248819.0
QQQ RIWIV7K5Z9LX,2021-01-04 10:10:00,313.58,313.66,313.44,313.53,1400.0,313.56,313.64,313.43,313.51,100.0,313.56,313.64,313.44,313.52,99485.0
QQQ RIWIV7K5Z9LX,2021-01-04 10:11:00,313.52,313.68,313.48,313.58,1600.0,313.5,313.67,313.47,313.56,100.0,313.5,313.66,313.47,313.56,80608.0
QQQ RIWIV7K5Z9LX,2021-01-04 10:12:00,313.2,313.54,313.11,313.52,100.0,313.19,313.53,313.1,313.5,100.0,313.2,313.54,313.1,313.51,127919.0
QQQ RIWIV7K5Z9LX,2021-01-04 10:13:00,313.07,313.23,313.02,313.2,100.0,313.06,313.21,313.01,313.19,1200.0,313.06,314.5,313.02,313.19,68195.0
QQQ RIWIV7K5Z9LX,2021-01-04 10:14:00,313.33,313.34,313.07,313.07,200.0,313.32,313.32,313.06,313.06,100.0,313.33,313.33,313.07,313.07,107461.0
QQQ RIWIV7K5Z9LX,2021-01-04 10:15:00,313.29,313.43,313.23,313.33,800.0,313.28,313.42,313.21,313.32,100.0,313.28,313.42,313.23,313.33,257687.0
QQQ RIWIV7K5Z9LX,2021-01-04 10:16:00,313.26,313.46,313.14,313.29,200.0,313.24,313.45,313.13,313.28,200.0,313.25,313.45,313.13,313.29,102306.0
QQQ RIWIV7K5Z9LX,2021-01-04 10:17:00,313.53,313.57,313.23,313.26,100.0,313.52,313.56,313.21,313.24,100.0,313.54,313.57,313.22,313.25,113736.0
QQQ RIWIV7K5Z9LX,2021-01-04 10:18:00,313.53,313.69,313.53,313.53,800.0,313.51,313.68,313.51,313.52,200.0,313.53,313.68,313.53,313.53,75180.0
QQQ RIWIV7K5Z9LX,2021-01-04 10:19:00,313.58,313.67,313.51,313.53,1800.0,313.57,313.66,313.5,313.51,100.0,313.57,313.66,313.51,313.53,47127.0
QQQ RIWIV7K5Z9LX,2021-01-04 10:20:00,313.48,313.63,313.45,313.58,800.0,313.47,313.61,313.43,313.57,100.0,313.49,313.61,313.44,313.57,65931.0
QQQ RIWIV7K5Z9LX,2021-01-04 10:21:00,313.65,313.65,313.36,313.48,1800.0,313.64,313.64,313.34,313.47,200.0,313.64,313.64,313.36,313.47,110795.0
QQQ RIWIV7K5Z9LX,2021-01-04 10:22:00,313.85,313.86,313.65,313.65,200.0,313.83,313.84,313.64,313.64,200.0,313.83,313.85,313.65,313.65,97197.0
QQQ RIWIV7K5Z9LX,2021-01-04 10:23:00,313.78,313.89,313.74,313.85,300.0,313.77,313.88,313.73,313.83,200.0,313.77,313.89,313.74,313.83,80482.0
QQQ RIWIV7K5Z9LX,2021-01-04 10:24:00,313.72,313.82,313.69,313.78,1600.0,313.71,313.81,313.67,313.77,100.0,313.72,313.81,313.68,313.78,110856.0
QQQ RIWIV7K5Z9LX,2021-01-04 10:25:00,313.7,313.83,313.67,313.72,100.0,313.69,313.81,313.65,313.71,100.0,313.69,313.82,313.66,313.72,57091.0
QQQ RIWIV7K5Z9LX,2021-01-04 10:26:00,313.82,313.82,313.69,313.7,1000.0,313.8,313.81,313.67,313.69,400.0,313.81,313.82,313.67,313.7,54345.0
QQQ RIWIV7K5Z9LX,2021-01-04 10:27:00,313.73,313.9,313.68,313.82,200.0,313.71,313.88,313.66,313.8,900.0,313.71,313.9,313.67,313.8,311516.0
QQQ RIWIV7K5Z9LX,2021-01-04 10:28:00,313.66,313.74,313.51,313.73,1200.0,313.64,313.73,313.5,313.71,800.0,313.66,313.73,313.51,313.73,80649.0
QQQ RIWIV7K5Z9LX,2021-01-04 10:29:00,313.69,313.79,313.59,313.66,100.0,313.68,313.78,313.57,313.64,1100.0,313.68,313.77,313.59,313.64,101070.0
QQQ RIWIV7K5Z9LX,2021-01-04 10:30:00,313.83,313.92,313.69,313.69,800.0,313.81,313.9,313.68,313.68,800.0,313.81,313.92,313.69,313.69,64607.0
QQQ RIWIV7K5Z9LX,2021-01-04 10:31:00,313.9,314.01,313.82,313.83,900.0,313.89,314.0,313.8,313.81,100.0,313.89,314.01,313.81,313.81,43672.0
QQQ RIWIV7K5Z9LX,2021-01-04 10:32:00,313.69,313.96,313.64,313.9,800.0,313.67,313.95,313.62,313.89,200.0,313.68,313.96,313.65,313.89,51745.0
QQQ RIWIV7K5Z9LX,2021-01-04 10:33:00,313.54,313.81,313.41,313.69,100.0,313.53,313.79,313.4,313.67,200.0,313.55,313.8545,313.41,313.66,386403.0
QQQ RIWIV7K5Z9LX,2021-01-04 10:34:00,313.47,313.64,313.27,313.54,1000.0,313.45,313.63,313.26,313.53,300.0,313.47,313.63,313.27,313.54,90185.0
QQQ RIWIV7K5Z9LX,2021-01-04 10:35:00,313.4,313.5,313.35,313.47,1600.0,313.38,313.49,313.33,313.45,200.0,313.39,313.5,313.35,313.47,123325.0
QQQ RIWIV7K5Z9LX,2021-01-04 10:36:00,313.38,313.5,313.33,313.4,100.0,313.37,313.49,313.31,313.38,300.0,313.37,313.48,313.32,313.38,40903.0
QQQ RIWIV7K5Z9LX,2021-01-04 10:37:00,313.46,313.55,313.36,313.38,300.0,313.44,313.53,313.35,313.37,900.0,313.44,313.54,313.36,313.38,47776.0
QQQ RIWIV7K5Z9LX,2021-01-04 10:38:00,313.4,313.6,313.4,313.46,200.0,313.38,313.59,313.38,313.44,900.0,313.4,313.59,313.4,313.46,42613.0
QQQ RIWIV7K5Z9LX,2021-01-04 10:39:00,313.48,313.52,313.28,313.4,1000.0,313.46,313.5,313.27,313.38,200.0,313.46,313.51,313.28,313.41,106848.0
QQQ RIWIV7K5Z9LX,2021-01-04 10:40:00,313.54,313.56,313.42,313.48,800.0,313.52,313.55,313.4,313.46,800.0,313.54,313.55,313.41,313.46,72833.0
QQQ RIWIV7K5Z9LX,2021-01-04 10:41:00,313.63,313.71,313.5,313.54,800.0,313.61,313.7,313.49,313.52,300.0,313.62,313.71,313.49,313.53,98155.0
QQQ RIWIV7K5Z9LX,2021-01-04 10:42:00,313.65,313.67,313.44,313.63,100.0,313.64,313.66,313.43,313.61,100.0,313.67,313.67,313.44,313.61,39744.0
QQQ RIWIV7K5Z9LX,2021-01-04 10:43:00,313.77,313.77,313.64,313.65,1800.0,313.75,313.76,313.63,313.64,200.0,313.76,314.2,313.63,313.65,252984.0
QQQ RIWIV7K5Z9LX,2021-01-04 10:44:00,313.69,313.9,313.69,313.77,1600.0,313.67,313.89,313.67,313.75,200.0,313.69,313.89,313.69,313.77,40104.0
QQQ RIWIV7K5Z9LX,2021-01-04 10:45:00,313.54,313.8,313.53,313.69,100.0,313.53,313.78,313.52,313.67,300.0,313.54,313.78,313.53,313.7,30515.0
QQQ RIWIV7K5Z9LX,2021-01-04 10:46:00,312.65,313.55,312.64,313.54,1600.0,312.64,313.53,312.62,313.53,300.0,312.66,313.55,312.63,313.54,232758.0
QQQ RIWIV7K5Z9LX,2021-01-04 10:47:00,312.49,312.81,312.47,312.65,100.0,312.48,312.8,312.45,312.64,200.0,312.49,312.8,312.46,312.64,143124.0
QQQ RIWIV7K5Z9LX,2021-01-04 10:48:00,312.46,312.74,312.43,312.49,1000.0,312.44,312.72,312.42,312.48,1000.0,312.45,312.73,312.42,312.49,126375.0
QQQ RIWIV7K5Z9LX,2021-01-04 10:49:00,312.3,312.58,312.26,312.46,2400.0,312.28,312.56,312.25,312.44,200.0,312.309,312.56,312.26,312.45,99245.0
QQQ RIWIV7K5Z9LX,2021-01-04 10:50:00,312.37,312.46,312.23,312.3,100.0,312.35,312.44,312.22,312.28,1000.0,312.35,312.44,312.24,312.3,91509.0
QQQ RIWIV7K5Z9LX,2021-01-04 10:51:00,312.38,312.5,312.27,312.37,1700.0,312.36,312.49,312.26,312.35,300.0,312.37,312.49,312.28,312.39,84337.0
QQQ RIWIV7K5Z9LX,2021-01-04 10:52:00,312.28,312.43,312.13,312.38,200.0,312.26,312.4,312.12,312.36,900.0,312.265,312.4,312.13,312.37,94123.0
QQQ RIWIV7K5Z9LX,2021-01-04 10:53:00,312.05,312.33,312.03,312.28,800.0,312.03,312.32,312.01,312.26,100.0,312.05,312.32,312.01,312.261,122454.0
QQQ RIWIV7K5Z9LX,2021-01-04 10:54:00,311.58,312.21,311.57,312.05,200.0,311.55,312.19,311.55,312.03,900.0,311.56,312.2,311.56,312.03,215782.0
QQQ RIWIV7K5Z9LX,2021-01-04 10:55:00,311.76,311.79,311.58,311.58,3800.0,311.73,311.76,311.55,311.55,900.0,311.75,311.78,311.6,311.6,122062.0
QQQ RIWIV7K5Z9LX,2021-01-04 10:56:00,311.84,311.9,311.66,311.76,200.0,311.83,311.89,311.65,311.73,200.0,311.84,311.9,311.66,311.78,363999.0
