symbol,time,close,high,low,open,volume
SHOP W0PNKBMQMN39,2016-01-04 10:00:00,24.68,25.48,24.67,25.42,73687.0
SHOP W0PNKBMQMN39,2016-01-04 11:00:00,24.78,25.0,24.53,24.64,168527.0
SHOP W0PNKBMQMN39,2016-01-04 12:00:00,24.91,25.46,24.64,24.68,162769.0
SHOP W0PNKBMQMN39,2016-01-04 13:00:00,24.81,24.86,24.54,24.78,38434.0
SHOP W0PNKBMQMN39,2016-01-04 14:00:00,25.3,25.3,24.88,24.88,50024.0
SHOP W0PNKBMQMN39,2016-01-04 15:00:00,25.58,25.67,25.21,25.26,80889.0
SHOP W0PNKBMQMN39,2016-01-04 16:00:00,25.72,25.83,25.42,25.52,64865.0
SHOP W0PNKBMQMN39,2016-01-05 10:00:00,26.05,26.47,25.5,25.5,64743.0
SHOP W0PNKBMQMN39,2016-01-05 11:00:00,26.17,26.27,25.67,25.99,47917.0
SHOP W0PNKBMQMN39,2016-01-05 12:00:00,26.05,26.39,25.95,26.23,39333.0
SHOP W0PNKBMQMN39,2016-01-05 13:00:00,25.97,26.07,25.63,26.05,122301.0
SHOP W0PNKBMQMN39,2016-01-05 14:00:00,25.77,25.79,25.69,25.76,22079.0
SHOP W0PNKBMQMN39,2016-01-05 15:00:00,25.74,25.87,25.71,25.84,21645.0
SHOP W0PNKBMQMN39,2016-01-05 16:00:00,25.31,25.84,25.27,25.76,94502.0
SHOP W0PNKBMQMN39,2016-01-06 10:00:00,24.61,25.19,24.57,24.95,16985.0
SHOP W0PNKBMQMN39,2016-01-06 11:00:00,24.54,24.61,24.18,24.55,35964.0
SHOP W0PNKBMQMN39,2016-01-06 12:00:00,24.87,25.03,24.51,24.62,26393.0
SHOP W0PNKBMQMN39,2016-01-06 13:00:00,25.13,25.14,24.92,24.96,14767.0
SHOP W0PNKBMQMN39,2016-01-06 14:00:00,25.1,25.16,25.03,25.16,38393.0
SHOP W0PNKBMQMN39,2016-01-06 15:00:00,25.16,25.34,25.09,25.11,38190.0
SHOP W0PNKBMQMN39,2016-01-06 16:00:00,25.3,25.33,25.12,25.19,83073.0
SHOP W0PNKBMQMN39,2016-01-07 10:00:00,25.18,25.58,24.72,25.58,25876.0
SHOP W0PNKBMQMN39,2016-01-07 11:00:00,25.1,25.28,24.78,25.23,49866.0
SHOP W0PNKBMQMN39,2016-01-07 12:00:00,25.1,25.1,24.83,25.01,29707.0
SHOP W0PNKBMQMN39,2016-01-07 13:00:00,24.84,25.09,24.75,25.09,63875.0
SHOP W0PNKBMQMN39,2016-01-07 14:00:00,24.76,24.95,24.75,24.84,74634.0
SHOP W0PNKBMQMN39,2016-01-07 15:00:00,24.76,24.97,24.75,24.76,57983.0
SHOP W0PNKBMQMN39,2016-01-07 16:00:00,24.67,24.82,24.63,24.76,99805.0
SHOP W0PNKBMQMN39,2016-01-08 10:00:00,25.33,25.33,25.0,25.0,28666.0
SHOP W0PNKBMQMN39,2016-01-08 11:00:00,24.78,25.37,24.7,25.37,15896.0
SHOP W0PNKBMQMN39,2016-01-08 12:00:00,24.88,24.99,24.73,24.8,8806.0
SHOP W0PNKBMQMN39,2016-01-08 13:00:00,25.11,25.11,24.81,24.97,23237.0
SHOP W0PNKBMQMN39,2016-01-08 14:00:00,25.2,25.2,25.02,25.09,5726.0
SHOP W0PNKBMQMN39,2016-01-08 15:00:00,25.04,25.22,25.03,25.18,5390.0
SHOP W0PNKBMQMN39,2016-01-08 16:00:00,24.93,25.07,24.72,25.02,35801.0
SHOP W0PNKBMQMN39,2016-01-11 10:00:00,24.7,24.99,24.66,24.95,7909.0
SHOP W0PNKBMQMN39,2016-01-11 11:00:00,24.66,24.96,24.65,24.66,20766.0
SHOP W0PNKBMQMN39,2016-01-11 12:00:00,24.61,24.91,24.54,24.67,42905.0
SHOP W0PNKBMQMN39,2016-01-11 13:00:00,24.29,24.63,24.25,24.62,20004.0
SHOP W0PNKBMQMN39,2016-01-11 14:00:00,23.88,24.3,23.84,24.29,17507.0
SHOP W0PNKBMQMN39,2016-01-11 15:00:00,23.61,24.03,23.59,23.91,33445.0
SHOP W0PNKBMQMN39,2016-01-11 16:00:00,23.87,24.04,23.53,23.71,147852.0
SHOP W0PNKBMQMN39,2016-01-12 10:00:00,24.57,24.62,23.98,24.15,90166.0
SHOP W0PNKBMQMN39,2016-01-12 11:00:00,24.02,24.49,24.0,24.49,68110.0
SHOP W0PNKBMQMN39,2016-01-12 12:00:00,23.68,24.05,23.65,24.01,78765.0
SHOP W0PNKBMQMN39,2016-01-12 13:00:00,23.79,23.88,23.69,23.69,18902.0
SHOP W0PNKBMQMN39,2016-01-12 14:00:00,23.71,23.85,23.66,23.74,27652.0
SHOP W0PNKBMQMN39,2016-01-12 15:00:00,23.64,23.64,23.41,23.64,34748.0
SHOP W0PNKBMQMN39,2016-01-12 16:00:00,23.74,24.0,23.57,23.68,46735.0
SHOP W0PNKBMQMN39,2016-01-13 10:00:00,23.93,23.93,23.73,23.73,13628.0
SHOP W0PNKBMQMN39,2016-01-13 11:00:00,23.02,23.89,22.94,23.89,39919.0
SHOP W0PNKBMQMN39,2016-01-13 12:00:00,22.81,23.19,22.63,22.96,54495.0
SHOP W0PNKBMQMN39,2016-01-13 13:00:00,22.18,22.86,22.09,22.86,30946.0
SHOP W0PNKBMQMN39,2016-01-13 14:00:00,22.06,22.4,21.97,22.14,59168.0
SHOP W0PNKBMQMN39,2016-01-13 15:00:00,21.47,22.14,21.47,22.06,114114.0
SHOP W0PNKBMQMN39,2016-01-13 16:00:00,21.38,21.75,21.25,21.48,184178.0
SHOP W0PNKBMQMN39,2016-01-14 10:00:00,20.29,21.44,20.16,21.44,41180.0
SHOP W0PNKBMQMN39,2016-01-14 11:00:00,20.56,20.94,19.89,20.23,105793.0
SHOP W0PNKBMQMN39,2016-01-14 12:00:00,20.4,20.7,20.27,20.55,33257.0
SHOP W0PNKBMQMN39,2016-01-14 13:00:00,20.29,20.44,20.25,20.38,63419.0
SHOP W0PNKBMQMN39,2016-01-14 14:00:00,20.29,20.35,20.15,20.29,133689.0
SHOP W0PNKBMQMN39,2016-01-14 15:00:00,21.19,21.2,20.15,20.25,96917.0
SHOP W0PNKBMQMN39,2016-01-14 16:00:00,20.64,21.19,20.6,21.18,304605.0
SHOP W0PNKBMQMN39,2016-01-15 10:00:00,19.06,20.09,18.88,19.75,80658.0
SHOP W0PNKBMQMN39,2016-01-15 11:00:00,18.8,19.39,18.8,19.11,146387.0
SHOP W0PNKBMQMN39,2016-01-15 12:00:00,18.75,18.84,18.48,18.78,75624.0
SHOP W0PNKBMQMN39,2016-01-15 13:00:00,18.97,19.02,18.67,18.78,101876.0
SHOP W0PNKBMQMN39,2016-01-15 14:00:00,19.26,19.26,18.96,19.0,133446.0
SHOP W0PNKBMQMN39,2016-01-15 15:00:00,19.5,19.5,19.23,19.31,91375.0
SHOP W0PNKBMQMN39,2016-01-15 16:00:00,19.89,19.94,19.5,19.5,238125.0
SHOP W0PNKBMQMN39,2016-01-19 10:00:00,20.95,21.55,20.18,21.43,263010.0
SHOP W0PNKBMQMN39,2016-01-19 11:00:00,21.09,21.35,20.93,20.93,94313.0
SHOP W0PNKBMQMN39,2016-01-19 12:00:00,20.72,21.26,20.72,21.14,61565.0
SHOP W0PNKBMQMN39,2016-01-19 13:00:00,20.61,20.82,20.57,20.78,73571.0
SHOP W0PNKBMQMN39,2016-01-19 14:00:00,20.51,20.65,20.4,20.65,71077.0
SHOP W0PNKBMQMN39,2016-01-19 15:00:00,20.48,20.52,20.41,20.49,37997.0
SHOP W0PNKBMQMN39,2016-01-19 16:00:00,20.3,20.84,20.3,20.51,191337.0
SHOP W0PNKBMQMN39,2016-01-20 10:00:00,19.85,20.06,19.77,20.0,24178.0
SHOP W0PNKBMQMN39,2016-01-20 11:00:00,18.68,19.95,18.67,19.92,97812.0
SHOP W0PNKBMQMN39,2016-01-20 12:00:00,18.81,19.05,18.67,18.67,60321.0
SHOP W0PNKBMQMN39,2016-01-20 13:00:00,18.8,18.83,18.61,18.77,53776.0
SHOP W0PNKBMQMN39,2016-01-20 14:00:00,19.54,19.6,18.75,18.8,42033.0
SHOP W0PNKBMQMN39,2016-01-20 15:00:00,19.49,19.5,19.29,19.5,38834.0
SHOP W0PNKBMQMN39,2016-01-20 16:00:00,20.53,20.94,19.44,19.44,114845.0
SHOP W0PNKBMQMN39,2016-01-21 10:00:00,21.3,22.91,20.74,20.93,123877.0
SHOP W0PNKBMQMN39,2016-01-21 11:00:00,22.04,22.04,20.78,21.3,94368.0
SHOP W0PNKBMQMN39,2016-01-21 12:00:00,22.14,22.4,21.86,22.02,84524.0
SHOP W0PNKBMQMN39,2016-01-21 13:00:00,22.77,22.96,22.12,22.12,100445.0
SHOP W0PNKBMQMN39,2016-01-21 14:00:00,22.89,23.18,22.65,22.79,82915.0
SHOP W0PNKBMQMN39,2016-01-21 15:00:00,23.28,23.39,22.91,22.97,309368.0
SHOP W0PNKBMQMN39,2016-01-21 16:00:00,22.79,23.33,22.3,23.25,187627.0
SHOP W0PNKBMQMN39,2016-01-22 10:00:00,23.38,23.39,22.64,23.19,42326.0
SHOP W0PNKBMQMN39,2016-01-22 11:00:00,23.16,23.71,23.01,23.4,84193.0
SHOP W0PNKBMQMN39,2016-01-22 12:00:00,23.12,23.25,22.88,23.21,61533.0
SHOP W0PNKBMQMN39,2016-01-22 13:00:00,23.24,23.27,22.97,23.12,44731.0
