symbol,time,askclose,askhigh,asklow,askopen,asksize,bidclose,bidhigh,bidlow,bidopen,bidsize,close,high,low,open,volume
SHOP W0PNKBMQMN39,2021-01-04 09:31:00,1131.1,1142.05,1129.96,1142.05,100.0,1128.13,1137.0,1128.0,1132.17,100.0,1130.68,1138.0,1129.36,1135.35,75007.0
SHOP W0PNKBMQMN39,2021-01-04 09:32:00,1121.87,1131.1,1121.4,1131.1,100.0,1120.0,1128.13,1120.0,1128.13,1200.0,1123.23,1126.96,1123.23,1125.0,16185.0
SHOP W0PNKBMQMN39,2021-01-04 09:33:00,1125.74,1126.46,1120.53,1121.87,100.0,1123.66,1124.76,1118.0,1120.0,100.0,1125.015,1126.25,1118.88,1120.53,12233.0
SHOP W0PNKBMQMN39,2021-01-04 09:34:00,1119.99,1125.74,1118.0,1125.74,200.0,1118.11,1123.66,1116.9,1123.66,100.0,1119.62,1123.98,1118.17,1123.66,8485.0
SHOP W0PNKBMQMN39,2021-01-04 09:35:00,1118.93,1122.6,1118.0,1119.99,100.0,1117.0,1119.67,1116.0,1118.11,100.0,1118.03,1120.0,1118.03,1120.0,8523.0
SHOP W0PNKBMQMN39,2021-01-04 09:36:00,1113.59,1118.93,1113.59,1118.93,100.0,1112.0,1117.0,1112.0,1117.0,300.0,1116.08,1116.08,1116.0,1116.0,10575.0
SHOP W0PNKBMQMN39,2021-01-04 09:37:00,1106.58,1113.59,1105.82,1113.59,200.0,1104.66,1112.7,1104.0,1112.0,100.0,1106.48,1113.13,1106.48,1112.79,19432.0
SHOP W0PNKBMQMN39,2021-01-04 09:38:00,1105.68,1106.58,1104.0,1106.58,100.0,1103.5,1105.01,1101.01,1104.66,100.0,1104.28,1106.58,1103.96,1104.0,19294.0
SHOP W0PNKBMQMN39,2021-01-04 09:39:00,1106.65,1110.19,1105.67,1105.68,100.0,1105.0,1109.1,1103.5,1103.5,100.0,1107.82,1109.68,1107.82,1109.51,11501.0
SHOP W0PNKBMQMN39,2021-01-04 09:40:00,1099.0,1106.65,1097.0,1106.65,100.0,1095.01,1105.82,1095.0,1105.0,100.0,1100.0,1106.64,1100.0,1105.825,32891.0
SHOP W0PNKBMQMN39,2021-01-04 09:41:00,1096.97,1099.0,1092.0,1099.0,100.0,1094.75,1097.01,1090.0,1095.01,100.0,1093.65,1097.01,1091.69,1097.01,22589.0
SHOP W0PNKBMQMN39,2021-01-04 09:42:00,1104.52,1107.63,1096.97,1096.97,100.0,1102.01,1103.6,1093.66,1094.75,100.0,1103.6,1103.6,1096.245,1096.245,10455.0
SHOP W0PNKBMQMN39,2021-01-04 09:43:00,1102.97,1104.77,1097.11,1104.52,100.0,1100.6,1102.32,1095.0,1102.01,100.0,1099.09,1103.54,1097.45,1102.74,8791.0
SHOP W0PNKBMQMN39,2021-01-04 09:44:00,1101.9,1104.77,1100.03,1102.97,100.0,1098.26,1102.14,1098.0,1100.6,100.0,1099.33,1101.66,1099.33,1101.63,6138.0
SHOP W0PNKBMQMN39,2021-01-04 09:45:00,1104.56,1104.77,1101.88,1101.9,100.0,1102.67,1102.69,1098.0,1098.26,100.0,1099.22,1100.46,1099.22,1100.46,5149.0
SHOP W0PNKBMQMN39,2021-01-04 09:46:00,1108.49,1109.83,1104.38,1104.56,200.0,1104.0,1107.05,1102.67,1102.67,100.0,1107.28,1107.28,1103.83,1103.83,9909.0
SHOP W0PNKBMQMN39,2021-01-04 09:47:00,1103.0,1108.49,1100.69,1108.49,100.0,1100.0,1104.0,1100.0,1104.0,200.0,1100.61,1104.06,1100.61,1104.06,9380.0
SHOP W0PNKBMQMN39,2021-01-04 09:48:00,1103.58,1106.75,1103.0,1103.0,100.0,1102.16,1102.77,1100.0,1100.0,100.0,1100.61,1104.06,1100.61,1104.06,0.0
SHOP W0PNKBMQMN39,2021-01-04 09:49:00,1108.55,1109.0,1102.92,1103.58,100.0,1105.78,1107.57,1102.16,1102.16,100.0,1108.21,1108.21,1103.505,1103.58,5802.0
SHOP W0PNKBMQMN39,2021-01-04 09:50:00,1107.96,1108.55,1105.64,1108.55,100.0,1106.5,1106.5,1103.45,1105.78,100.0,1107.3,1107.38,1104.23,1106.0,9131.0
SHOP W0PNKBMQMN39,2021-01-04 09:51:00,1109.4,1109.4,1106.5,1107.96,100.0,1106.71,1107.39,1105.17,1106.5,200.0,1107.54,1107.54,1105.95,1106.52,7298.0
SHOP W0PNKBMQMN39,2021-01-04 09:52:00,1104.12,1110.0,1104.11,1109.4,100.0,1102.5,1108.18,1102.5,1106.71,100.0,1106.0,1109.4,1106.0,1109.4,7005.0
SHOP W0PNKBMQMN39,2021-01-04 09:53:00,1105.44,1105.44,1100.05,1104.12,100.0,1102.37,1102.67,1098.12,1102.5,200.0,1104.0,1104.0,1100.04,1102.0,9388.0
SHOP W0PNKBMQMN39,2021-01-04 09:54:00,1109.0,1110.0,1105.0,1105.44,200.0,1105.34,1106.0,1102.37,1102.37,100.0,1107.96,1107.96,1105.35,1105.35,4107.0
SHOP W0PNKBMQMN39,2021-01-04 09:55:00,1107.79,1110.0,1107.64,1109.0,100.0,1105.26,1106.51,1102.37,1105.34,100.0,1106.495,1109.34,1106.495,1109.34,2977.0
SHOP W0PNKBMQMN39,2021-01-04 09:56:00,1114.4,1114.5,1107.78,1107.79,100.0,1111.0,1112.84,1105.26,1105.26,100.0,1111.0,1111.0,1107.79,1107.79,10289.0
