symbol,time,close,high,low,open,volume
TSLA UNU3P8Y3WFAD,2015-01-02 10:00:00,43.772,44.65,43.62,44.574,716061.0
TSLA UNU3P8Y3WFAD,2015-01-02 11:00:00,43.18,43.798,42.652,43.762,1402566.0
TSLA UNU3P8Y3WFAD,2015-01-02 12:00:00,43.108,43.19,42.788,43.16,508973.0
TSLA UNU3P8Y3WFAD,2015-01-02 13:00:00,43.158,43.366,43.0,43.118,467020.0
TSLA UNU3P8Y3WFAD,2015-01-02 14:00:00,43.194,43.332,43.058,43.188,322605.0
TSLA UNU3P8Y3WFAD,2015-01-02 15:00:00,43.644,43.656,43.192,43.192,384878.0
TSLA UNU3P8Y3WFAD,2015-01-02 16:00:00,43.862,44.0,43.418,43.618,902010.0
TSLA UNU3P8Y3WFAD,2015-01-05 10:00:00,42.6,43.3,42.24,42.91,1088023.0
TSLA UNU3P8Y3WFAD,2015-01-05 11:00:00,42.08,42.67,42.08,42.6,1007588.0
TSLA UNU3P8Y3WFAD,2015-01-05 12:00:00,42.03,42.42,41.954,42.1,741579.0
TSLA UNU3P8Y3WFAD,2015-01-05 13:00:00,41.518,42.09,41.44,42.066,646836.0
TSLA UNU3P8Y3WFAD,2015-01-05 14:00:00,41.8,41.93,41.484,41.516,519118.0
TSLA UNU3P8Y3WFAD,2015-01-05 15:00:00,41.684,41.798,41.554,41.786,309158.0
TSLA UNU3P8Y3WFAD,2015-01-05 16:00:00,42.018,42.176,41.628,41.686,968792.0
TSLA UNU3P8Y3WFAD,2015-01-06 10:00:00,41.706,42.498,41.702,42.012,813302.0
TSLA UNU3P8Y3WFAD,2015-01-06 11:00:00,41.71,42.442,41.686,41.706,1154797.0
TSLA UNU3P8Y3WFAD,2015-01-06 12:00:00,41.288,41.71,41.24,41.7,838921.0
TSLA UNU3P8Y3WFAD,2015-01-06 13:00:00,41.548,41.592,40.842,41.298,794384.0
TSLA UNU3P8Y3WFAD,2015-01-06 14:00:00,41.474,41.584,40.936,41.548,649975.0
TSLA UNU3P8Y3WFAD,2015-01-06 15:00:00,42.248,42.378,41.404,41.468,793457.0
TSLA UNU3P8Y3WFAD,2015-01-06 16:00:00,42.256,42.836,42.146,42.224,1218019.0
TSLA UNU3P8Y3WFAD,2015-01-07 10:00:00,42.85,42.958,42.426,42.67,493502.0
TSLA UNU3P8Y3WFAD,2015-01-07 11:00:00,42.082,42.926,41.956,42.85,773501.0
TSLA UNU3P8Y3WFAD,2015-01-07 12:00:00,42.456,42.5,42.0,42.08,433269.0
TSLA UNU3P8Y3WFAD,2015-01-07 13:00:00,42.22,42.54,42.202,42.456,221321.0
TSLA UNU3P8Y3WFAD,2015-01-07 14:00:00,42.136,42.272,41.964,42.254,262193.0
TSLA UNU3P8Y3WFAD,2015-01-07 15:00:00,42.278,42.342,42.032,42.152,317534.0
TSLA UNU3P8Y3WFAD,2015-01-07 16:00:00,42.19,42.336,42.074,42.284,435048.0
TSLA UNU3P8Y3WFAD,2015-01-08 10:00:00,42.45,42.686,42.218,42.562,521058.0
TSLA UNU3P8Y3WFAD,2015-01-08 11:00:00,42.498,42.76,42.378,42.42,527008.0
TSLA UNU3P8Y3WFAD,2015-01-08 12:00:00,42.42,42.7,42.322,42.514,420769.0
TSLA UNU3P8Y3WFAD,2015-01-08 13:00:00,42.342,42.46,42.126,42.428,320500.0
TSLA UNU3P8Y3WFAD,2015-01-08 14:00:00,42.184,42.51,42.102,42.322,224738.0
TSLA UNU3P8Y3WFAD,2015-01-08 15:00:00,42.23,42.33,42.13,42.168,332140.0
TSLA UNU3P8Y3WFAD,2015-01-08 16:00:00,42.124,42.276,42.002,42.24,1054192.0
TSLA UNU3P8Y3WFAD,2015-01-09 10:00:00,41.14,41.99,41.07,41.784,953746.0
TSLA UNU3P8Y3WFAD,2015-01-09 11:00:00,41.332,41.546,41.1,41.14,740040.0
TSLA UNU3P8Y3WFAD,2015-01-09 12:00:00,41.474,41.54,41.028,41.332,568426.0
TSLA UNU3P8Y3WFAD,2015-01-09 13:00:00,41.13,41.63,41.1,41.47,403415.0
TSLA UNU3P8Y3WFAD,2015-01-09 14:00:00,41.038,41.4,41.038,41.132,517933.0
TSLA UNU3P8Y3WFAD,2015-01-09 15:00:00,41.21,41.442,40.992,41.036,684675.0
TSLA UNU3P8Y3WFAD,2015-01-09 16:00:00,41.332,41.43,41.19,41.218,652985.0
TSLA UNU3P8Y3WFAD,2015-01-12 10:00:00,40.138,40.894,40.074,40.678,1101929.0
TSLA UNU3P8Y3WFAD,2015-01-12 11:00:00,40.142,40.42,39.95,40.138,1487042.0
TSLA UNU3P8Y3WFAD,2015-01-12 12:00:00,39.962,40.232,39.85,40.148,766202.0
TSLA UNU3P8Y3WFAD,2015-01-12 13:00:00,40.126,40.46,39.988,39.99,619990.0
TSLA UNU3P8Y3WFAD,2015-01-12 14:00:00,40.278,40.302,39.906,40.106,403274.0
TSLA UNU3P8Y3WFAD,2015-01-12 15:00:00,40.188,40.4,40.134,40.282,407330.0
TSLA UNU3P8Y3WFAD,2015-01-12 16:00:00,40.442,40.6,40.032,40.188,1080747.0
TSLA UNU3P8Y3WFAD,2015-01-13 10:00:00,41.15,41.356,40.622,40.662,714413.0
TSLA UNU3P8Y3WFAD,2015-01-13 11:00:00,41.2,41.528,41.148,41.178,563654.0
TSLA UNU3P8Y3WFAD,2015-01-13 12:00:00,40.912,41.25,40.84,41.198,442105.0
TSLA UNU3P8Y3WFAD,2015-01-13 13:00:00,41.052,41.156,40.78,40.918,365392.0
TSLA UNU3P8Y3WFAD,2015-01-13 14:00:00,40.45,41.14,40.302,41.086,499255.0
TSLA UNU3P8Y3WFAD,2015-01-13 15:00:00,40.482,40.74,40.176,40.438,483119.0
TSLA UNU3P8Y3WFAD,2015-01-13 16:00:00,40.85,41.094,40.412,40.496,764293.0
TSLA UNU3P8Y3WFAD,2015-01-14 10:00:00,38.34,38.4,37.116,37.292,3251545.0
